Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,anger,"['shut', 'up', 'hashtags', 'are', 'cool', 'offended']","[""'shut"", 'up', 'hashtag', 'be', 'cool', 'offend']"
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,anger,"['it', 'makes', 'me', 'so', 'fucking', 'irate', 'jesus', 'nobody', 'is', 'calling', 'people', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']","['it', 'make', ""me'"", ""so'"", 'fuck', 'irate', 'jesus', 'nobody', 'be', 'call', 'people', ""who'"", 'like', 'hajime', 'abusive', 'stop', 'with', ""the'"", 'strawmen', 'lmao']"
Lol Adam the Bull with his fake outrage...,anger,0.41700000000000004,anger,"['lol', 'adam', 'the', 'bull', 'with', 'his', 'fake', 'outrage']","['lol', 'adam', ""the'"", 'bull', 'with', 'he', 'fake', 'outrage']"
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0.354,anger,"['passed', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'car', 'crash', 'as', 'he', 'was', 'leaving', 'an', 'atl', 'strip', 'club', 'that', 'is', 'rough', 'stuff']","['pass', 'away', 'early', 'this', 'morning', 'in', ""a'"", 'fast', 'and', 'furious', 'style', 'car', 'crash', 'as', 'he', 'be', 'leave', 'a', 'atl', 'strip', 'club', 'that', 'be', 'rough', 'stuff']"
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,0.43799999999999994,anger,"['lol', 'wow', 'i', 'was', 'gon', 'na', 'say', 'really', 'haha', 'have', 'you', 'seen', 'chris', 'or', 'nah', 'you', 'do', 'nt', 'even', 'snap', 'me', 'anymore', 'dude']","['lol', 'wow', ""i'"", 'be', 'go', ""na'"", 'say', 'really', ""haha'"", 'have', 'you', 'see', 'chris', 'or', 'nah', 'you', 'do', 'not', 'even', 'snap', ""me'"", 'anymore', 'dude']"
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,anger,"['i', 'need', 'a', 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'an', 'olive', 'guarded', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']","['i', 'need', ""a'"", 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'a', ""'olive"", 'guard', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']"
"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0.354,anger,"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'are', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'saw', 'about', 'you']","[""and'"", 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', ""'other"", 'be', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'see', 'about', 'you']"
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0.33299999999999996,anger,"['like', 'a', 'rabid', 'dog', 'i', 'pulled', 'out', 'the', 'backs', 'of', 'my', 'cupboards', 'looking', 'for', 'a', 'bakewell', 'found', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']","['like', ""a'"", 'rabid', 'dog', ""i'"", 'pull', 'out', 'the', 'back', 'of', 'my', 'cupboard', 'look', 'for', 'a', 'bakewell', 'find', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']"
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,0.556,anger,"['it', 'is', 'very', 'telling', 'that', 'racist', 'bigots', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'that', 'is', 'worse', 'than', 'being', 'a', 'racist', 'bigot']","['it', 'be', 'very', 'tell', 'that', 'racist', 'bigot', 'always', 'resort', ""to'"", ""the'"", 'insult', 'fag', 'like', 'that', 'be', 'worse', 'than', 'be', 'a', 'racist', 'bigot']"
Follow up. Follow through. Be #relentless. #success,anger,0.125,anger,"['follow', 'up', 'follow', 'through', 'be', 'relentless', 'success']","['follow', 'up', 'follow', 'through', ""be'"", 'relentless', 'success']"
@JustinRow10 dude the new madden 17? Haha,anger,0.231,anger,"['dude', 'the', 'new', 'madden', '17', 'haha']","['dude', ""the'"", 'new', 'madden', '17', 'haha']"
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger,0.583,anger,"['if', 'he', 'can', 'not', 'come', 'to', 'my', 'mum', ""'a"", '60th', 'after', '25', 'k', 'tweets', 'then', 'why', 'should', 'i', 'see_no_evil', 'monkey', 'bitter', 'soreloser']","['if', 'he', 'can', 'not', 'come', ""to'"", 'my', 'mum', 'a', '60th', 'after', '25', ""k'"", 'tweet', 'then', 'why', 'should', ""i'"", 'see_no_evil', 'monkey', 'bitter', 'soreloser']"
Lol little things like that make me so angry x,anger,0.604,anger,"['lol', 'little', 'things', 'like', 'that', 'make', 'me', 'so', 'angry']","['lol', 'little', 'thing', 'like', 'that', 'make', 'i', 'so', 'angry']"
One more day tiff.. One more day!,anger,0.20800000000000002,anger,"['one', 'more', 'day', 'tiff', 'one', 'more', 'day']","[""'one"", 'more', 'day', 'tiff', 'one', 'more', 'day']"
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0.348,anger,"['me', 'being', 'on', 'my', 'dean', 'really', 'saving', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', 'so', 'much', 'out', 'of', 'me']","[""'me"", 'be', 'of', 'and', 'my', 'dean', 'really', 'save', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', ""so'"", 'much', 'out', 'of', 'i']"
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,0.414,anger,"['who', 'knew', 'softballs', 'could', 'sting', 'so', 'bad', 'jimmy', 'fallon', 'has', 'been', 'under', 'a', 'lot', 'of', 'heat', 'for', 'his', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']","[""who'"", 'know', 'softball', 'could', 'sting', ""so'"", 'bad', 'jimmy', 'fallon', 'have', 'be', 'under', 'a', 'lot', 'of', 'heat', 'for', 'he', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']"
