sentiment,sentiment_count,sentiment_score,tweet_text
fear,5.0,3.165,Blue lives only matter as justification for killing black folks. i am sitting here watching this and I can not help but laugh. i am just gonna sit here and look at em' confused about what to do when murder is not an option.
fear,3.0,2.675,"here is the video of the two white terrorists gunning down a black man, who was doing nothing wrong but jogging. Why is not this all over the news but the Dow Jones is? #BlackLivesMatter"
fear,4.0,2.952,**Video Of Arbery Shooting In Brunswick Ga** #IRunWithMaud #NAACP #BlackLivesMatters #AhmaudArbery #JusticeForAhmaudArbery They are hunting us like animals. This was clearly cold blooded murder. How can a simple jog lead to you being gunned down. No Justice No Peace!!!
fear,8.0,4.534,While we continue to demand justice for #AhmaudArbery we also have to fight for #SeanReed who was killed by Indianapolis police yesterday! He was running away from the cops and recording on his FB live. 12 shot him in the back while he fled! #BlackLivesMatter #justiceforseanreed
fear,5.0,2.752,You can not say All Lives Matter. i am sorry. Be mad at the police officers who shoot Black men and women for unjustified reasons then plea they were fearful of their life. UNFOLLOW ME BC I HAVE ALREADY UNFOLLOWED YOU
fear,5.0,2.5580000000000003,"This is a horrible situation. I never got to know Sean, but he went to my High School, graduated a year ahead of me and enlisted in the Air Force. Nobody deserves to die in such a terrible way. Something needs to change in law enforcement to stop this. RIP. #BlackLivesMatter"
fear,7.0,3.093,"What about the black men you got sentenced to LIFE IN PRISON? While campaigning to be the MN senator as ""tough on crime "". You had No Gun, witnesses received cash &/or reduced sentences. Alibi was NEVER checked. Hoping NAACP. Black Lives Matters + 3 lawsuits will keep us updated."
fear,6.0,3.442,"#ICantBreathe As a veteran , I know what rules of engagement are. This would be a war crime. Hold the PoPo accountable. #Justice for #GeorgeFloyd #VetsVsHate The officers and the Department should be investigated. Being Black should not be a death sentence."
fear,4.0,2.6869999999999994,We can not kneel to protest the killing of unarmed black men by police but they can kneel on our necks until we are lifeless in the middle of the street. #GeorgeFloyd is the latest victim for which #Kaepernick began his original protest. #BlackLivesMatter
fear,6.0,3.984,I am horrified by the killing of another Black man #GeorgeFloyd by MPD. Non-violent offense. Not armed. Asking for help. #icantbreathe The video is shocking and i am not going to share it bc of amplifying trauma. Honestly we should not have to see it to believe it #BlackLivesMatter
fear,5.0,3.283,"Minneapolis just fired 4 cops in regards to the death of George Floyd. Now, let is send em to prison for life. That was murder. #JusticeForFloyd #icantbreathe"
