tweet_text,sentiment,final_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,afraid,afraid_score,amused,amused_score,angry,angry_score,annoyed,annoyed_score,dontcare,dontcare_score,happy,happy_score,inspired,inspired_score,sad,sad_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score
I suppose I am happy being so ` tiny' ; it means I am able to surprise people with what is generally seen as my confident and outgoing personality .,happy,"['i', 'suppose', 'i', 'am', 'be', 'happy', 'being', 'be', 'so', 'tiny', 'it', 'means', 'mean', 'i', 'am', 'be', 'able', 'to', 'surprise', 'people', 'with', 'what', 'is', 'be', 'generally', 'seen', 'see', 'as', 'my', 'confident', 'and', 'outgoing', 'personality']",joy,3.0,1.8810000000000002,14.0,1.2578234434176414,14.0,2.2603091687163457,14.0,1.407943215688105,14.0,1.9981502364205743,14.0,1.867438400048123,14.0,1.4067338368193296,14.0,2.5341077741592253,14.0,1.267493924730655,inspired,14.0,2.5341077741592253
Lennox has always truly wanted to fight for the world title and was happy taking the tough route .,happy,"['lennox', 'has', 'have', 'always', 'truly', 'wanted', 'want', 'to', 'fight', 'for', 'the', 'world', 'title', 'and', 'was', 'be', 'happy', 'taking', 'take', 'the', 'tough', 'route']",trust,2.0,1.0779999999999998,13.0,0.888923755075313,13.0,1.9845639496904983,13.0,1.2221675162996772,13.0,1.7823301809956005,13.0,1.7486777710287182,13.0,1.4449035625832367,13.0,2.7462666129317608,13.0,1.182166651395195,inspired,13.0,2.7462666129317608
"He was a professional musician now , still sensitive and happy doing something he loved .",happy,"['he', 'was', 'be', 'a', 'professional', 'musician', 'now', 'still', 'sensitive', 'and', 'happy', 'doing', 'do', 'something', 'he', 'loved', 'love']",joy,3.0,2.475,8.0,0.47682625336357043,8.0,1.2022281493447926,8.0,0.6600985690089585,8.0,1.0270511675304648,8.0,1.3215390364007256,8.0,0.8280746845461765,8.0,1.6582958350627657,8.0,0.8258863047425459,inspired,8.0,1.6582958350627657
Holmes is happy having the freedom of the house when we are out .,happy,"['holmes', 'is', 'be', 'happy', 'having', 'have', 'the', 'freedom', 'of', 'the', 'house', 'when', 'we', 'are', 'be', 'out']",trust,2.0,1.351,4.0,0.2823633589925558,4.0,0.6630933080901723,4.0,0.5328811723194486,4.0,0.5424191619484653,4.0,0.5235636934675889,4.0,0.3948113963534276,4.0,0.7102097581391971,4.0,0.35065815068914435,inspired,4.0,0.7102097581391971
"I had problems with tutors trying to encourage me to diversity my work and experiment with other styles , but I was quite happy with the direction my work was heading so I stubbornly stuck to it .",happy,"['i', 'had', 'have', 'problems', 'problem', 'with', 'tutors', 'tutor', 'trying', 'try', 'to', 'encourage', 'me', 'i', 'to', 'diversity', 'my', 'work', 'and', 'experiment', 'with', 'other', 'styles', 'style', 'but', 'i', 'was', 'be', 'quite', 'happy', 'with', 'the', 'direction', 'my', 'work', 'was', 'be', 'heading', 'head', 'so', 'i', 'stubbornly', 'stuck', 'stick', 'to', 'it']",trust,3.0,1.742,20.0,1.5501522612852976,20.0,3.4182869399115554,19.0,1.8929786715055186,20.0,2.3592357170607574,20.0,2.6094320859914144,20.0,2.0391583528251127,20.0,4.246601913234117,20.0,1.8841540581862273,inspired,20.0,4.246601913234117
These days he is quite happy travelling by trolley .,happy,"['these', 'days', 'day', 'he', 'is', 'be', 'quite', 'happy', 'travelling', 'travel', 'by', 'trolley']",joy,2.0,1.1969999999999998,7.0,0.6881792834652721,7.0,1.2410621063244704,7.0,0.9010685401730261,7.0,0.7670468070614614,6.0,0.7542061588800735,7.0,0.7269078427366255,7.0,1.1879356746656082,7.0,0.7335935866934632,amused,7.0,1.2410621063244704
"I 'm really happy in the group now . """,happy,"['i', ""'m"", 'be', 'really', 'happy', 'in', 'the', 'group', 'now']",joy,1.0,0.7879999999999999,3.0,0.21484936499107926,3.0,0.4368297405716536,3.0,0.3138308708650963,3.0,0.4044640053029668,3.0,0.4740713004465003,3.0,0.3370997120308468,3.0,0.5784513412506005,3.0,0.24040366454125683,inspired,3.0,0.5784513412506005
"I was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by Amelia Edwards that I was really happy with my work .",happy,"['i', 'was', 'be', 'given', 'give', 'a', 'dummy', 'in', 'which', 'to', 'do', 'my', 'preliminary', 'sketches', 'sketch', 'but', 'the', 'dummy', 'was', 'be', 'designed', 'design', 'so', 'beautifully', 'by', 'amelia', 'edwards', 'that', 'i', 'was', 'be', 'really', 'happy', 'with', 'my', 'work']",anticipation,2.0,1.016,14.0,0.911262620723397,14.0,2.126369746860541,14.0,1.7533828703823438,14.0,1.81387001524243,14.0,1.9477468189100673,14.0,1.5546532963679582,14.0,2.568949907088888,14.0,1.323764724424375,inspired,14.0,2.568949907088888
"I must say I was not totally happy about her going on at Yeo Davis , with me in the government .",happy,"['i', 'must', 'say', 'i', 'was', 'be', 'not', 'totally', 'happy', 'about', 'her', 'she', 'going', 'go', 'on', 'at', 'yeo', 'davis', 'with', 'me', 'i', 'in', 'the', 'government']",joy,1.0,0.7879999999999999,9.0,0.7126506296894095,9.0,1.2419202682335797,9.0,1.1678103714066481,9.0,1.2023340219748873,9.0,1.1381383353292096,9.0,1.1334703832292954,9.0,1.4812435450174144,9.0,0.9224324451195565,inspired,9.0,1.4812435450174144
"Indeed , the two M boys themselves were not totally happy at first at having these initially undisciplined children visiting their home and generally being around on a regular basis .",happy,"['indeed', 'the', 'two', 'm', 'boys', 'boy', 'themselves', 'were', 'be', 'not', 'totally', 'happy', 'at', 'first', 'at', 'having', 'have', 'these', 'initially', 'undisciplined', 'children', 'child', 'visiting', 'visit', 'their', 'they', 'home', 'and', 'generally', 'being', 'be', 'around', 'on', 'a', 'regular', 'basis']",joy,3.0,1.813,18.0,1.5782923903319857,18.0,2.434628449524339,18.0,2.234873071506901,18.0,2.646933210116501,18.0,2.2523224558660124,18.0,1.7839707599470513,18.0,2.9981436012053915,18.0,2.0708360615018186,inspired,18.0,2.9981436012053915
