text,tweet_text,tweet_langague,anger,anger_score,anticipation,anticipation_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,trust,trust_score,nrc_sentiment,nrc_sentiment_score
The wind said Black Lives Matter ,"['The', 'wind', 'said', 'Black', 'Lives', 'Matter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
it’s not just about George Floyd he was just the straw that broke the camels back . ,"['it', 'is', 'not', 'just', 'about', 'George', 'Floyd', 'he', 'was', 'just', 'the', 'straw', 'that', 'broke', 'the', 'camels', 'back']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43799999999999994,0.0,0.0,1.0,0.484,0.0,0.0,0.0,0.0,sadness,0.484
Every other basic response: “We stand with our black employees :)” Ben & Jerry’s: “WE GOTTA FUCKIN SMASH WHITE SUPREMACY. FUCK THE KKK AND FUCK YOU. BLACK LIVES MATTER. OUR NEW FLAVOR IS CALLED FUCK THE POLICE. ITS GOT BLUEBERRIES”,"['Every', 'other', 'basic', 'response', 'We', 'stand', 'with', 'our', 'black', 'employees', 'Ben', '&', 'jerry', 'is', 'WE', 'GOTTA', 'FUCKIN', 'SMASH', 'WHITE', 'SUPREMACY', 'FUCK', 'THE', 'KKK', 'AND', 'FUCK', 'YOU', 'BLACK', 'LIVES', 'MATTER', 'OUR', 'NEW', 'FLAVOR', 'IS', 'CALLED', 'FUCK', 'THE', 'POLICE', 'ITS', 'GOT', 'BLUEBERRIES']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.281,0.0,0.0,0.0,0.0,,0.0
All 50 states plus 18 countries participated in #BlackLivesMatter protests as of today making it the largest civil rights movement in world history wow,"['All', '50', 'states', 'plus', '18', 'countries', 'participated', 'in', 'BlackLives', 'Matter', 'protests', 'as', 'of', 'today', 'making', 'it', 'the', 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
This shit is real this gave me chills #blacklivesmatter #GeorgeFloyd #dcprotest,"['This', 'shit', 'is', 'real', 'this', 'gave', 'me', 'chills', '#blacklivesmatter', 'George', 'Floyd', '#dcprotest']",en,1.0,0.573,0.0,0.0,1.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6409999999999999,disgust,0.82
"Remember black lives matter not only when it comes to police brutality but in every aspect of society. BLM in the education system where schools receive insufficient funding. BLM in the health care system where too often black ppl, especially black women, receive improper care.","['Remember', 'black', 'lives', 'matter', 'not', 'only', 'when', 'it', 'comes', 'to', 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'BLM', 'in', 'the', 'education', 'system', 'where', 'schools', 'receive', 'insufficient', 'funding', 'BLM', 'in', 'the', 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'women', 'receive', 'improper', 'care']",en,1.0,0.9590000000000001,0.0,0.0,0.0,0.0,2.0,1.25,1.0,0.493,9.0,0.8430000000000001,0.0,0.0,6.0,1.7730000000000001,trust,1.7730000000000001
when I say BLACK LIVES MATTER. I’m NOT talking about an organization. I AM talking about the literal black lives that have been stolen the past 400+ years documented and undocumented. I AM talking about the black lives of those still living. That’s all...,"['when', 'I', 'say', 'BLACK', 'LIVES', 'MATTER', 'i', 'am', 'NOT', 'talking', 'about', 'an', 'organization', 'I', 'AM', 'talking', 'about', 'the', 'literal', 'black', 'lives', 'that', 'have', 'been', 'stolen', 'the', 'past', '400', 'years', 'documented', 'and', 'undocumented', 'I', 'AM', 'talking', 'about', 'the', 'black', 'lives', 'of', 'those', 'still', 'living', 'that', 'is', 'all']",en,1.0,0.546,1.0,0.203,0.0,0.0,0.0,0.0,2.0,0.46799999999999997,4.0,0.562,1.0,0.125,1.0,0.516,sadness,0.562
The policeman said “You can record this because I need other people to hear this” Please stop blaming peaceful protestors and the Black Lives Matter movement for the destruction of various cities. A large amount of the destruction have come from white supremist groups. ,"['The', 'policeman', 'said', 'You', 'can', 'record', 'this', 'because', 'I', 'need', 'other', 'people', 'to', 'hear', 'this', 'Please', 'stop', 'blaming', 'peaceful', 'protestors', 'and', 'the', 'Black', 'Lives', 'Matter', 'movement', 'for', 'the', 'destruction', 'of', 'various', 'cities', 'A', 'large', 'amount', 'of', 'the', 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'groups']",en,4.0,1.3119999999999998,2.0,0.656,0.0,0.0,5.0,1.715,2.0,0.745,0.0,0.0,1.0,0.086,3.0,1.4689999999999999,fear,1.715
"Since George Floyd was murdered 49 days ago, there have been AT LEAST 767 documented cases of police brutality. That’s almost 16 a day. ","['Since', 'George', 'Floyd', 'was', 'murdered', '49', 'days', 'ago', 'there', 'have', 'been', 'AT', 'LEAST', '767', 'documented', 'cases', 'of', 'police', 'brutality', 'that', 'is', 'almost', '16', 'a', 'day']",en,1.0,0.9590000000000001,0.0,0.0,0.0,0.0,2.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484,fear,1.25
"look who my sister caught at Cub Foods in Plymouth. J. Alexander Keung, one of the officers who lynched #GeorgeFloyd in cold blood. ","['look', 'who', 'my', 'sister', 'caught', 'at', 'Cub', 'Foods', 'in', 'Plymouth', 'J.', 'Alexander', 'Keung', 'one', 'of', 'the', 'officers', 'who', 'lynched', 'GeorgeFloyd', 'in', 'cold', 'blood']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.525,0.0,0.0,1.0,0.188,0.0,0.0,0.0,0.0,fear,0.525
