sentiment,sentiment_count,sentiment_score,tweet_text
anger,3.0,2.085,Cop Smacks 13 Year old in Sicklerville wildfights wildfight wild viral streetfights streetfight schoolfights schoolfight coronavirus crazyfights crazyfight Fights fight girlfights girlfight NewJersey sicklerville BlackLivesMatter Policeviolence racist – at Sicklerville VFW
anger,4.0,2.6060000000000003,Images of violence from GeorgeFloyd protester will dominate national news coverage tomorrow but remember they are the minority The majority are peaceful see previous tweet but also sad angry and dismayed they have to be out here again
anger,1.0,0.5,Say his name GeorgeFloyd icantbreathe blackinamerica racism racialbias keeprecording exposeracism injustice
anger,2.0,1.382,text FLOYD to 55156 to sign a petition demanding that the officer that murdered George Floyd are arrested and charged
anger,4.0,2.522,Every one should be outraged sad and disgusted by the video of George Floyd being MURDERED a a white person who want to see change in the way African American people are treated in our country we can not stay silent BlackLivesMatter
anger,5.0,3.2219999999999995,ACAB BlackLivesMatter 窃钩者诛，窃国者侯：He who steal a hook get hanged a a crook yet he who steal the kingdom make himself a duke When the current system and law is built to enable oppression and murder rebelling and breaking the law is not an evil act
anger,3.0,1.689,JESUS FVCKING CHRIST Shes done Amy Klobuchar declined to prosecute officer at center of George Floyds death after previous conduct complaint
anger,3.0,1.945,I dont want to see a SINGLE queer person speaking ill of the riot and protest in Minneapolis The only reason we a a community have any sort of right is because of the QPOC that stood up to the police No life matter until Black life do period BlackLivesMatter
anger,3.0,2.0940000000000003,Optics are everythingso I wouldnt be surprised if the same inhumane asshole that murdered GeorgeFloyd arent the same racist setting fire to business to distract amp purposely shift public judgment towards protester instead of the guilty copsJusticeForGeorgeFloyd
anger,3.0,1.873,It took 2 day of riot and all of a sudden George Floyds name is lost in the news because city are burning to the ground Great work everyone
anger,4.0,2.641,This is what weve been driven to This is how we respond to continued silence injustice This is what happens when an entire race ha been labeled thug by their acting President for simply fighting for their life right This is America in 2020 BlackLivesMatter
anger,3.0,2.218,People are rioting because the black community is tired Who can We call Your president called u THUGS Sorry to say it but these riot are bringing medium and attention because clearly america doesnt want to help So let find someone who can BlackLivesMater GeorgeFloyd
anger,3.0,2.4370000000000003,The United Nations ha condemned the killing of GeorgeFloyd urge ‘Serious Action to stop the US Police slaying UNARMED black people
anger,6.0,4.081,I am a black person and yes I want Justice for George Floyd murder but what people are doing in the protest is terrible Its good to protest but not vandalized and rob place THEY ARE RUINING THERE STATES AND MAKING THING BAD THERE Minneapolis riot GeorgeFloyd
anger,2.0,1.399,Black Political Empowerment Movement news conference in Pittsburghs Hill District BPEP is praising Pittsburgh Chief Scott Schubert who is condemning the action of Minneapolis officer Derek Chauvin Chauvin wa charged today with the death of George Floyd Tonight
anger,5.0,3.2090000000000005,We can not look away nor remain passive I am thankful that phone camera exist forcing u to confront longstanding racial injustice brutality I am overwhelmed but my dispair is nothing compared to the horror we witness We are better than this floydgeorge BlackLivesMatter
anger,3.0,1.589,Atlanta Mayor You are disgracing our city you are disgracing the life of George Floyd You see how easy it is to denounce rioting Why are so many Democrats still struggling to do this
anger,2.0,1.6119999999999999,Remember small business have nothing to do with this Dont let history repeat itself riots2020 JusticeForGeorgeFlyod BlackLivesMatter
anger,3.0,2.1500000000000004,I havent felt this way since Trayvon I think I wa numb to all the murderer in between They hit but this hit me different This one triggered something Im hurt Im tired blacklivesmatter dcprotests – at The White House
anger,4.0,2.085,Justice for GeorgeFloyd requires confronting the institutionalized white supremacy that ha been embedded in our nation foundation We need to fix our Constitution I am the only candidate in the 2020 presidential election whose platform includes abolishing slavery
anger,5.0,2.982,Justice for the murder of GeorgeFloyd requires confronting the institutionalized white supremacy that ha been embedded in US foundation We need to fix our Constitution I am the only candidate in the 2020 presidential election whose platform includes abolishing slavery
anger,2.0,1.242,We stand with you Minneapolis and blacklivesmatter The black community ha endured Americas systemic racism too long Racism bigotry violence and have have no place in society Lets end this rampant vile injustice
anger,2.0,0.9640000000000001,The chant right now is For our kid We need to do better They will ask u what the hell wa going on in 2020 one day We need an answer that includes thing were different then GeorgeFloyd protest Philadelphia – at Dilworth Park
anger,3.0,2.326,Posting picture of how great your day is refusing to post support and donate to those mourning George Floyd and fighting for justice on his behalf and staying staying neutral are all slap in the face to black people across the country
anger,5.0,3.1870000000000003,We are all hurting and silence is a harmful a violence We wont stand for the injustice and racism in our community and our country We will use our voice and platform to help support and protect each other Our team is committed to making a difference BlackLivesMatter
anger,1.0,0.7190000000000001,The crowd scream GeorgeFloyd
