sentiment,sentiment_count,sentiment_score,tweet_text
trust,5.0,2.969,Repairing the deep historical and continuing harm done to black people will require deep abiding transformationsTo fulfill the promise that black life matter the United States must change in systemic and not superficial way
trust,3.0,1.5240000000000002,Im sure the Senate Leader would take time to speak with a bunch of armed Black Lives Matter protestors if they took over the state capitol
trust,2.0,1.3210000000000002,Criminal We know the Ugly Truth that for too many Black Lives Dont Matter
trust,3.0,1.79,I am so hurt for this young man and his family No justice no peace BlackLivesMatter too
trust,2.0,1.063,On point Share this around the world BlacklivesMatter AllLivesMatter StopThisStupidity
trust,1.0,0.477,BlackLivesMatter thats the tweet
trust,1.0,0.711,This spokenword say so much AhmaudArbery JusticeForAhmaud BlackLivesMatter
trust,2.0,0.8909999999999999,Because a a reporter I know a much or more about the black life matter movement a anybody and when I see exactly the same guy using exactly the same playbook a few month before an election I know whats up
trust,2.0,1.188,SayHerName BreonnaTaylor BlackLivesMatter Thank you for seeking justice ForThePeople
trust,3.0,1.305,BreonnaTaylor executed by police AhmaudArbery executed by vigilante But white people need their waffle BlackLivesMatter
trust,5.0,2.571,A very important analysis and wakeup call for the church Do ‘Black life matter le Our collective behaviour and lack of positive action to the contrary would suggest so according to the research by
trust,2.0,1.188,My name is José I am not Black but I see you I am not Black but I hear you I am not Black but I stand with you JusticeForAhmaud BlackLivesMatter
trust,4.0,1.97,Sadly in the eye of the Democrat party black conservative dont count Not ALL black life matter to them Black conservative are the most politically courageous demographic there is given that an entire political party doesnt count them in their identity political base
trust,3.0,2.149,killed George Floyd on video with excessive force So much for Trust Accountability and Professional Service
trust,1.0,0.648,the brother name wa George Floyd
trust,3.0,1.6410000000000002,AmyCooper called the police and lied on ChristianCooper in hope that the police would do to him similarly what they did to GeorgeFloyd Let that sink in BlackLivesMatter icantbreathe
trust,5.0,2.8989999999999996,I pray for our world in the midst of a pandemic where we need mask to walk outside our home I pray for my fellow black people that live in fear of becoming a and another innocent life taken I pray for change safety justice AmyCooper BlackLivesMatter RIPGeorgeFloyd
trust,4.0,2.156,Im a fan and I dont mind if their player want to protest the murder of George Floyd I dont mind if any player on any team protest this A man is dead at the hand of the police His neck pinned down by a knee for over 5 minute TakeAKnee JusticeForGeorgeFloyd
trust,3.0,1.79,No justice no peace BlackLivesMatter GeorgeFloyd racistamerica
trust,4.0,2.524,Sometimes Black men just want to love bird My youngest boy love bird I wont let racism stop him from loving bird Thanks to ChristianCooper for the inspiration through the hate CentralPark AmyCooper GeorgeFloyd Minneapolis iCantBreathe BlackLivesMatter
trust,6.0,2.798,Local cop in Delaware wear blue life matter toboggan when it cold out So that go to show you the police themselves dont give a fuck about the black life matter movement In fact they hate that shit
trust,4.0,2.391,With the murder of George Floyd I want to remind Virginians of the Va justice app from Va ACLU If you ever find yourself in a situation a a witness or victim you can film and have it auto upload to their cloud so police can not destroy evidence from your phone Be vigilant
trust,3.0,1.7730000000000001,If you dont see a problem with the response to peaceful protester demanding justice for GeorgeFloyd v the military protest to reopen the country youre part of the problem Justice will not be served until those who are unaffected are a outraged a those who are
trust,1.0,0.422,We can not let this continue Please remember George Floyd
trust,2.0,0.821,White people we need to have a conversation And not just on Twitter BlackLivesMatter icantbreathe MinneapolisPoliceMurderdHim RIPGeorgeFloyd whiteprivilege whitepeople BLM GeorgeFloydWasMurdered
trust,5.0,2.156,The latest video which show police pulling George Floyd from his car and dragging him around serve a further evidence that not only wa he not resisting arrest but those who took his life were the one who treated him like an object from the start
trust,4.0,1.649,Unfollow me if you dont support the Black Lives Matter movement If you dont you are denying equitable standard and treatment to all black Americans Justice for George Floyd
trust,1.0,0.477,black life matter
trust,2.0,0.843,GeorgeFloyd Photos capture the stark contrast in police response to George Floyd protest v antilockdown protest Covid19 GeorgeFloydWasMurdered
trust,4.0,1.9769999999999999,A Black person is killed by law enforcement every 40 hour Black male teenager are 21 time more likely to be killed by an officer than White male teenager And over 50 of time that force is used the person is Black GeorgeFloyd BlackLivesMatter
trust,2.0,0.774,When you are practically begging for your life a worthlessvile human being continues to step on your neck show no mercy GeorgeFloyd icantbreathe
trust,3.0,1.766,Can CNN please get the gentleman Donald Williams you interviewed who watched George Floyds murder professional support or resource please
trust,4.0,2.4290000000000003,Thanks Mr Williams for bearing witness about your attempt to save life of GeorgeFloyd Your bravery and Heart speaks volume about the strength of Black men for Black people in America calling for prosecution of officer for murder on
trust,4.0,1.883,Alan MacLeo Tongue sticking out cheeky playful or blowing a raspberry While serving a Minnesotas chief prosecutor between 1999 and 2007 Amy Klobuchar declined to bring charge against more than two dozen officer who had killed citizen while on duty – including against the cop that killed George Floyd
trust,2.0,0.961,blue life do not matter because blue life do not exist stop being fucking stupid police can take off their uniform black people can not we are a walking target wake tf up blacklivesmatter
trust,2.0,0.961,This is your reminder Fuck yo target fuck yo autozone and fuck yo police acab anyways Those building are replaceable Black body are not Police are here to protect capitalism not life BlackLivesMatter MinneapolisUprising
trust,5.0,2.992,When irresponsible Muslims kill innocent people we hear ALL Muslims especially Imams need to speak up or hold a millionman march condemning it Agreed I hope someone would tell police to do a million man march condemning killing of GeorgeFloyd BlackLivesMatter
