ori_sentiment,tweet_text,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
happy,Dorian Gray with Rainbow Scarf #LoveWins from,"['dorian', 'gray', 'with', 'rainbow', 'scarf', 'lovewins', 'from']",0.0,0.0,1.0,0.133,0.0,0.0,1.0,0.531,1.0,0.26899999999999996,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.531
happy,... Replace with your wish which the artist uses in next installation! It was entralling!,"['replace', 'with', 'your', 'you', 'wish', 'which', 'the', 'artist', 'uses', 'use', 'in', 'next', 'installation', 'it', 'was', 'be', 'entralling', 'entrall']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression,"['thank', 'you', 'for', 'following', 'follow', 'me', 'i', 'back', 'great', 'to', 'hear', 'from', 'a', 'diverse', '&amp', 'interesting', 'panel', 'defeatingdepression']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47700000000000004,trust,1.0,0.47700000000000004
happy,What a beautiful jewel / portrait. Is the 'R' for Rex ?,"['what', 'a', 'beautiful', 'jewel', 'portrait', 'is', 'be', 'the', 'r', 'for', 'rex']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.7809999999999999
happy,I have always loved this painting.,"['i', 'have', 'always', 'loved', 'love', 'this', 'painting']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.758,joy,2.0,1.687
nocode,"say wot, mate?","['say', 'wot', 'mate']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.82,trust,2.0,0.82
nocode,Two workshops on evaluating audience engagement + early July,"['two', 'workshops', 'workshop', 'on', 'evaluating', 'evaluate', 'audience', 'engagement', 'early', 'july']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35700000000000004,0.0,0.0,anticipation,1.0,0.35700000000000004
nocode,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas","['a', 'forest', 'road', 'by', 'thomas', 'gainsborough', '1750', 'oil', 'on', 'canvas']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,Lucky Good luck &amp; see you soon :,"['lucky', 'good', 'luck', 'see', 'you', 'soon']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7520000000000002,0.0,0.0,3.0,1.266,2.0,0.9769999999999999,1.0,0.617,joy,3.0,1.7520000000000002
nocode,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... via","['the', 'two', 'works', 'work', 'in', 'our', 'we', 'free', 'ducciocaro', 'exhibition', 'play', 'with', 'space', 'movement', 'and', 'architect', 'via']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.544
happy,Yr 9 art students are off to the today. Enjoy!,"['yr', '9', 'art', 'students', 'student', 'are', 'be', 'off', 'to', 'the', 'today', 'enjoy']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.046,1.0,0.0,1.0,0.172,2.0,0.969,1.0,0.484,joy,2.0,1.046
nocode,Indeed,['indeed'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,""" More #Waterloo200? Live #Periscope tonight with Dan Snow in #BonaparteAndTheBritish","['more', 'waterloo200', 'live', 'periscope', 'tonight', 'with', 'dan', 'snow', 'in', 'bonaparte', 'and', 'thebritish']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.406
not-relevant,Please vote for us as #sidwell is local charity PRT,"['please', 'vote', 'for', 'us', 'we', 'as', '#sidwell', 'is', 'be', 'local', 'charity', 'prt']",1.0,0.045,0.0,0.0,0.0,0.0,2.0,0.64,1.0,0.031,1.0,0.125,1.0,0.547,1.0,0.555,joy,2.0,0.64
not-relevant,#AskTheGallery Have you got plans to privatise any other roles ?,"['ask', 'thegallery', 'have', 'you', 'got', 'get', 'plans', 'plan', 'to', 'privatise', 'any', 'other', 'roles', 'role']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57,0.0,0.0,anticipation,1.0,0.57
nocode,New digital installation by Girton Artist in Residence will be projected on the façade of the tonight from 9pm!,"['new', 'digital', 'installation', 'by', 'girton', 'artist', 'in', 'residence', 'will', 'be', 'projected', 'project', 'on', 'the', 'façade', 'of', 'the', 'tonight', 'from', '9', 'pm']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,so beautiful,"['so', 'beautiful']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.7809999999999999
nocode,i am with with Sussanna at pic —,"['i', 'am', 'be', 'with', 'with', 'sussanna', 'at', 'pic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,awesome museum,"['awesome', 'museum']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
