tweet_text,sentiment
i suppose i am happy being so ` tiny' ; it means i am able to surprise people with what is generally seen as my confident and outgoing personality .,happy
lennox has always truly wanted to fight for the world title and was happy taking the tough route .,happy
"he was a professional musician now , still sensitive and happy doing something he loved .",happy
holmes is happy having the freedom of the house when we are out .,happy
"i had problems with tutors trying to encourage me to diversity my work and experiment with other styles , but i was quite happy with the direction my work was heading so i stubbornly stuck to it .",happy
these days he is quite happy travelling by trolley .,happy
"i 'm really happy in the group now . """,happy
"i was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by amelia edwards that i was really happy with my work .",happy
"i must say i was not totally happy about her going on at yeo davis , with me in the government .",happy
"indeed , the two m boys themselves were not totally happy at first at having these initially undisciplined children visiting their home and generally being around on a regular basis .",happy
` i am very happy with the way i am playing but i accept that he believes he should be england 's fly-half .,happy
"but seriously , i 'm very happy that you 're staying .",happy
we are very happy that the volkswagen tour has enabled us to welcome this renowned orchestra to the festival for the first time .,happy
"in the last 10 days of the trail , however , he became much happier to take risks , although babies remained unkissed .",happy
"a drop of scotch during occasional periods of self-criticism helped him to become happy with himself , but most of the time he was happy anyway .",happy
he felt suddenly happy at being alive .,happy
what i did n't understand was why i did n't feel happy walking down the street afterwards .,happy
sarah tried to stop herself from feeling happy at this revelation .,happy
he seemed happy with this .,happy
"nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and tolkien was happy to discover anyone who could appreciate what he was up to .",happy
he 's just happy to get on with it .,happy
neil kinnock was happy that his deputy should spell out his commitment to equality as labour 's objective .,happy
i was happy that i was having my own baby but sometimes i used to cry for nothing and i was easily upset .,happy
` we are not happy that the group is meeting sinn fein and will demand an explanation from the consulate .,happy
"` i 'm so happy you could make it , my favourite jockey . """,happy
said his co-boss curbishley ` i was a bit disappointed when lennie lawrence at middlesbrough did n't come up with the price we 'd fixed but i 'm happy the lad is still here .,happy
do you have a delight in animals and skill in their management ?,happy
"the book also moves close to a highly critical analysis of science and yet never becomes anti-science , only anti-scientific jones 's own delight in physics enthusiastically drawing the sting out of his own criticism .",happy
but he was sniffily dismayed at their delight in consumerism and sheep-like attitude to the reactionary rubbish in the papers .,happy
"trying to hide her enormous delight in his return , juliet turned to david .",happy
"` estelle 's delight in thomas made your mother very happy , "" ashley recalled , her head resting against his chest .",happy
"she cackled and slapped her knees , bent double and wheezing with delight at her own witticisms .",happy
my delight at everything i saw was beyond bounds gardens were allotted my sister and self there was the canal to fish in a pony to ride besides animals of different kinds,happy
"they were astonished to see the penguin , and swooped low to call out with delight at her sleek feathers and solid little body .",happy
"the anc , while expressing delight at their decision , nevertheless continued to call for the dissolution of the tricameral parliament , which it regarded as essentially racist .",happy
her stumbling repetition masked a growing delight at his basic error .,happy
bobby robson 's delight at having guided his team to another major tourament was coupled with gratitude to the 40-year-old goalkeeper .,happy
"expressing his delight at being appointed , he said ` this is the one job i had hoped for . """,happy
headmaster jim jones recalled her delight at winning the egg and spoon race .,happy
the delight at being finally united with joan was tempered by a feeling of discomfort about ronnie leahy .,happy
minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes .,happy
"his delight and sense of wonder at the growth of his baby were erratic as other interests pressed , but real enough .",happy
"yes , i 'd like to declare a small case of french flu , a dangerous fondness for flaubert , a childish delight in french road-signs , and a love of the light as you look north .",happy
"the celebration of sexuality found in the works of sidur , neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos .",happy
"it was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use .",happy
"re was at first pleased but soon realised that hathor 's delight in killing might lead to the destruction of all mankind , which he had not intended .",happy
their cheerfulness and delight at still being alive only made charlie feel more guilty .,happy
"this time ronni admitted it , feeling a little like a traitor at the confession -- and at the sense of pure delight she felt at guido 's gesture .",happy
"in the end , the poems must be read as expressions of sheer delight in friendship .",happy
"with such obvious delight in food , it 's hard to see how blanc remains so slim .",happy
the animal seemed to take a perverse delight in terrorizing him .,happy
"all he 'd glimpsed through the window was matta playing solitaire of some kind , so why had the man taken such delight in terrifying him ?",happy
"but do i take delight in pushing you down , making you worse ?",happy
todd showed delight in simple songs and reverence when invited to pray .,happy
"` but my chairman and vice-chairman have given me another year 's contract , and i 'm absolutely delighted to be staying at nottingham forest .",happy
"i 'm absolutely delighted that we achieved what we set out to do at the beginning of the week , which was to ensure that the ryder cup stayed on this side of the atlantic .",happy
"highly delighted with the transaction , we made our way back to althorp street , wondering how we were to break the news to mrs sugden .",happy
"both mr souness and jim smith , the portsmouth manager , emphasised how delighted they were with the overall quality of yesterday 's tie .",happy
"she was on her feet taking his hand , smiling at him , telling him how delighted she was to meet him .",happy
sir i am writing to say how delighted i am with your magazine !,happy
"mr mitterrand appears so delighted with the ultra-courteous edouard balladur , that some socialists wonder whether he has at last found the prime minister of his dreams .",happy
"i was responsible for community programme for the last 18 months of its life , so i 'm delighted to be involved in introducing community action .",happy
so we 're delighted to bring our conference to support our members in portsmouth .,happy
"the buenos aires flight was delayed and the plane horribly hot , but this did n't upset the passengers who seemed delighted to be going home .",happy
the proprietress seemed delighted to see them .,happy
"for the watching world , she smiled and laughed , seeming perfectly delighted with her husband and newfound status .",happy
"` he did n't seem too delighted to see you , "" said betty .",happy
advertisers said they were delighted to see many of their proposals reflected in the government 's approach .,happy
"whether or not the palace actually arranged for the drawing to be removed , there can be little doubt that they were delighted to be rid of it .",happy
` i am delighted that you are so cheerful and optimistic .,happy
"on the other hand , she suspected that fowler-thrown would be delighted to have a private view of newley 's collection .",happy
"obviously , staff will be delighted that the appointment of a new director has been made and sad that tom has gone but it is the proposed reorganisation which will occupy the minds of most staff .",happy
"i was delighted to see the photograph of the staff from department one , published in the january/february issue of wimpey news .",happy
they were delighted with the turnout of spectators and the general organisations by local authorities .,happy
"` we are delighted to help the museum extend its collection , "" said mr watson .",happy
"not having entered art competitions before , i 'm delighted to have reached the finals .",happy
i 'm delighted to learn that his advice has been sought in the present enterprise .,happy
"we act cool , like we 're not delighted to meet up again , then we sit round the kitchen table and talk .",happy
"my lord mayor , i 'm delighted to have this opportunity to debate the government 's health reforms again .",happy
"delighted to be taken for another ride in another car , the little boy chuckled .",happy
i 'm delighted that you 've been able to come along at such short notice .,happy
"` what is it ? "" asked the eight-year-old , delighted that he had somehow managed to amuse this mature woman of nineteen .",happy
"` now that i 've seen the finished copy i 'm delighted that i encouraged susan to write it , "" said mrs major .",happy
"li yuan was smiling broadly , pleased with himself , proud of his scheme , and delighted that he had tsu ma 's approval .",happy
"though relieved , and fiercely delighted that she had apparently stopped him in his tracks , polly was apprehensive about going back up on deck .",happy
"` i 'm delighted they left you the house , "" julia told margaret .",happy
we were all very worried about you and i 'm delighted you 're home again .,happy
"` i 'm delighted you 're so pleased to see me . """,happy
` lee and ian have shown they have what it takes to earn first-year professional terms and i 'm delighted they 've agreed to join us .,happy
"mcgoldrick signed on for four years after talks with highbury boss george graham and said ` i 'm delighted it 's all gone through so smoothly . """,happy
"sammy stuck his nose in the air , delighted at such attention .",happy
"the dog , delighted at last to have some attention paid to it , raced ahead , scenting rabbits , his great tail pluming .",happy
he appeared delighted at the prospect .,happy
"looking anything but delighted at the prospect , he stood up .",happy
"she grinned , delighted at this mind-reading .",happy
"she cackled , delighted with the queasy mixture on the plate , hot brown coffee lapping at the pale wedge of sugared pastry .",happy
"delighted with their silver medals for reaching the final against the world champions , england saw the match open with an expected win by the world champion jorgen persson over english champion chen xinhua 21-8 , 21-18 .",happy
"` in my youth "" , says baxter , ` i was quickly past my fundamentals and was running up into a multitude of controversies , and greatly delighted with metaphysical and scholastic writings . """,happy
"modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with soutine and indenbaum .",happy
"and , remember , as with all our offers , we guarantee to refund your money if you 're not delighted with your purchase .",happy
"he chuckled , delighted at having amazed her .",happy
"delighted at having gained his complete attention , lori squirmed in her seat .",happy
morrissey was ecstatic at the response .,happy
if you use a fax card you 'll be ecstatic to see that wordstar has the capacity to create faxable files in a matter of seconds .,happy
"with a grimace , donal murmured gloomily , ` he was n't exactly ecstatic at my explanation . """,happy
"thank you , thank you ! "" she cried , quite ecstatic that he 'd unbent .",happy
"` well ? "" he barked , clearly not ecstatic that she thought she could lay down conditions .",happy
"every time they got near him , he backed off , ecstatic with excitement , tail wagging furiously .",happy
the elation of witnessing birth may be followed by a sense of disorientation at being a displaced person .,happy
but richard 's elation at regaining his health was short lived because his kidneys started to fail .,happy
"rescued dogs are often somewhat nervous of people , and yet may also become excited to see you , when you have been out , for example .",happy
"i could n't wait for the pictures to come out , i was so excited to see them .",happy
` i am so excited about seeing my sons again .,happy
