tweet_text,sentiment,sentiment_score,tweet_text_tmp
i got u yelling out my name that u need me,anger,1.4489999999999998,got yelling need 
Kaiden over here hating me right now loudlycryingface loudlycryingface loudlycryingface loudlycryingface loudlycryingface,anger,1.656,hating 
I hate that my new stomach medicine made me break out like crazy all over my face unamusedface,anger,1.3279999999999998,hate made break 
Grandma Stay Yelling At Me,anger,1.4489999999999998,stay yelling 
Ready to scrim today yesterday I wa mad about drama but today I will be smacking people,anger,1.3030000000000002,scrim smacking 
yes and these faggets from o5 hating because that random retro ha me added anyone who support me,anger,1.656,hating ha added support 
Rocking my money belt u get a money beating oncomingfist yenbanknote cigarette,anger,1.287,rocking get beating 
Im just trying to talk to u and let you kno I dont like drama I dont hate u or dislike u relievedface,anger,1.297,trying talk let kno like hate dislike 
Lmaooo facewithtearsofjoy stop hating omg I can control a guy jumping around with a knife yal are hater on god,anger,1.656,stop hating control jumping 
then the people who jumped the old man were innocent to the old man wa probably threatening there life So oh well,anger,1.7,jumped threatening 
Rising sun is really some racist as bitch man heard they had rope hanging from the light post smh,anger,1.439,heard had hanging 
be safe little body dont get into any fight,anger,1.47,get 
it doesnt solve a damn thing just show how disrespectful people can be when theyre angry,anger,2.075,solve show 
fuck you bitch Im in a 3rd row omw to sheetz,anger,1.14,fuck 
Honestly without a riot nobody would even care So please get angry because something ha to change,anger,1.6119999999999999,care get ha change 
Protest do not make people fear for their life riot do,anger,2.112,make do 
let shit be amp stop speaking on it damn facewithtearsofjoy sleepingface,anger,1.3079999999999998,let stop speaking 
I hate people who snapchat or take a pic every time they smoke lol if I did that Id be posting all day expressionlessface annoying,anger,1.298,hate snapchat take smoke did posting 
Lol I could go on for hour about the shit going down in Baltimore but my opinion isnt gonna change anything so why argue w people over it,anger,1.307,go going gon change argue 
if people would just stfu lol your tweet arent doing nothing but starting more argument with people who disagree with your opinion,anger,2.088,stfu doing starting disagree 
The Orioles beat the Red Sox 187 the day after protestors threatened to keep Os fan in the ballpark the night before Hell of a strategy,anger,1.6709999999999998,beat threatened keep 
I just hate the violence that is going on but change definitely need to happen,anger,1.5699999999999998,hate going change need happen 
really dont see why everyone is arguing w each other over opinion on the shit going down in the city ur opinion doesnt change anything,anger,1.307,see arguing going change 
My 20lb dog is somehow managing to take over my entire queen size bed And kicking me out in the process How doe that even happen,anger,1.3030000000000002,managing take kicking happen 
Damn girl I thought I complained a lot then I checked your shit Do you ever stop Smile dude jeez,anger,1.777,thought complained checked stop 
truuuuuu Cuzz all they gon do is find a homegirl to screen shot shit anyway mobilephonewitharrow disappointedface unamusedface wearyface eye,anger,1.245,do find screen 
Finally getting my eye brow done today Them bitch are ratchet Brows bout to be on fleeek,anger,1.3030000000000002,getting done 
Meanwhileearlier today before the shit hit the fan At the site where Freddie Gray wa taken downJohn,anger,1.24,hit taken 
