sentiment,sentiment_score,tweet_text
joy,0.7190000000000001,such a perfect day to go fishing
sadness,0.7190000000000001,whitening my teeth is such a pain but so worth it
disgust,2.046,Kids are way too loud and messy Just left somebody house and they kid trashed they shit and we wa there yesterday and it wa clean
joy,2.524,7 Happy face smiley 0 and bitch already coming up to me facewithtearsofjoy
trust,0.6409999999999999,My teacher ha been with her bf and he already sent her flower sigh disappointedbutrelievedface
joy,0.5,You couldnt be a stranger Youre too nice a 7 yr old at the Spring Family Fest awww
fear,1.645,They cancel edgewoods after school stuff because some one attempted to commit suicide close to the school not this riot stuff
joy,0.985,She cant get her ice cream from cv now facewithtearsofjoy
anticipation,0.4920000000000001,Come to Deerfield court if u ball
surprise,0.679,Yo just gave the best description of catching feeling
anticipation,1.304,Lol exactly what I expected
sadness,1.1340000000000001,A lost because oh well another one bite the dust
anticipation,1.004,I deserve hella prop for dealing with some people
trust,0.75,u know the struggle my friend
joy,0.922,Forever annoying you happily
fear,0.621,ill give u every little piece of me
sadness,2.384,Imagine contribution to society lost had Hammond become isolated because of his hearing impairment isolationsucks
joy,0.924,Torrey Smith just threw out an L facewithtearsofjoy
joy,0.941,Some balling kabob I put together the other night omg they were so good I wanted to scream oden oden oden
joy,0.5,Spring Family Fest comeonspring
trust,0.43,Cops everywhere around my house wearyface
anticipation,0.523,Mr Abbate need to be inspected so we can watch the movie facewithsteamfromnose
anticipation,0.523,hopefully we can watch itm
joy,0.43,I just began a running workout using Endomondo Peptalk me now
joy,2.175,Blessed to see another day in this beautiful world raisinghands foldedhands
joy,0.375,feeling22 tayswift redheart ️with flipagram made with flipagram See full video at…
joy,0.375,feeling22 tayswift redheart ️with flipagram made with flipagram See full video at…
anger,0.453,Edgewood is really not that bad neutralface
sadness,0.562,yes 5 at the minimum If not Ill be upset
joy,0.924,People change so much when they get cuffed facewithtearsofjoy
joy,0.8909999999999999,you laughed so shut up
joy,0.802,I felt a giggle
joy,0.5,Get your poeticjusticebraids done by yours truly teddysgiftedhands Diamond Hair Studio
trust,0.4920000000000001,right near our church
surprise,0.398,I guess It wa earlier
trust,0.484,WWE banned that year ago like the Curb Stomp recently
joy,0.545,My view Edgewood Recreation and Community Center
joy,1.0759999999999998,Riding music Edgewood Recreation and Community Center
trust,0.406,radar on Edgewood rd near route seven
trust,0.883,Check out my boy show Going up in 5 day ICarryMyOwnSpotlight at Eubie Blake Center Baltimore
fear,0.7340000000000001,what wa your favorite scene to shoot on TheWire chief
trust,1.032,Rich homie real nice
joy,0.828,Keri Hilson make love OKhand smilingfacewithhearteyes
anger,0.8029999999999999,Some bitch just never care LRT
trust,1.002,I hate feeling like this wearyface
joy,1.7409999999999999,Came home and found this blunt I lost like 3 day ago this bitch stale a shit wearyface facewithtearsofjoy facewithtearsofjoy
surprise,0.617,Stop letting all these nigga Prank you persongesturingNO
fear,2.6450000000000005,Blood shot eye red relievedface leafflutteringinwind A couple gun Iraq pistol Got a pretty young thingLet her bang on the South Side of Chiraq persontippinghand
anger,0.688,Guess he mad idc relievedface openhands
trust,0.922,bright yo facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy YALL won thats all that matter
anticipation,0.633,CANNON BALL COMING GOODBYE HOMERUNNNNNNNN
surprise,0.586,they finding any excuse to act wild
anger,1.073,shit getting crazy in Baltimore
anger,1.4489999999999998,i got u yelling out my name that u need me
joy,0.455,at least it Friday and an A day
trust,0.609,me patron and u
joy,0.828,i want u to give me love all the time when i see u
fear,0.484,only gonna get worse
sadness,0.594,and i just dont want you leaving even though i give you reason
sadness,0.453,and when we finish girl we gone do it again
trust,0.609,u me and patron girl we gone get it on
sadness,0.312,i wanna lay with u
trust,0.664,all the thing that we accept be the thing that we regret
joy,0.469,turning my phone off for the rest of the day
disgust,0.391,Lets turn Tampa RED 2night for game 7 I want an octopus on the ice I want to hear let go red wing DetroitisHockeytown OctopiTampa octopus
anticipation,0.516,Only time you can text me is night during the day you can forget about it facewithtearsofjoy facewithtearsofjoy I probably wont even reply until that night Im to busy
disgust,1.3039999999999998,Im mad a shit I am not get what I want
trust,1.5930000000000002,An update from the Chief of Police no credible threat in the county and no county police deployed in Baltimore They are on standby
joy,1.707,Watching RDMA2015 loving it
joy,0.828,love you my fav teen role model
anticipation,0.633,so is not coming to history
anticipation,0.633,We Squad In Destiny Room
fear,0.484,Seen my lul bro today exclamationmark flexedbiceps syringe hundredpoints
disgust,0.82,I Do The Shit She Dont headphone
anticipation,0.523,ExMachina wa sortof predictable here and there but wa nonetheless a great watch
sadness,0.6559999999999999,Im sure Ill tear up at the end of fast 7 today
disgust,0.7190000000000001,lmao ayo mayfield is really a gross sister
trust,0.851,Haha pretty much what 30 feel like
sadness,0.636,Disappointed that Im finding out about McDreamy on Twitter
joy,0.924,for what facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
joy,1.479,happy birthday Ijae growingheart growingheart
fear,0.962,Jermaine kill me skull
joy,0.924,you erky facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
joy,0.469,sunwithface persongesturingOK mediumlightskintone you are so pretty sunflower
anticipation,0.5,tiger tiger facesavouringdeliciousfood hey young bull growingheart smilingfacewithsmilingeyes
joy,3.241,smilingfacewithhalo Japanesediscountbutton hey tink growingheart we had so much fun today smilingfacewithhalo I missed you so much see you Tuesday love faceblowingakiss
anticipation,0.5,cactus ox Im not ready be bullshit no more lmao Text me Cause you being petty lol
joy,1.5779999999999998,kissmark kissmark I miss you bitch doubleexclamationmark ️ where you been eye come hang with me soon smilingfacewithhorns
joy,0.469,turtle turtle you so pretty amp can dress nailpolish mediumdarkskintone
anger,0.47,Oomf is so annoying
anticipation,0.648,smilingfacewithsunglasses smilingfacewithsunglasses fire knew you forever You so funny and annoying smilingfacewithopenmouthclosedeyes bring me a sandwich tomorrow smilingfacewithhalo
joy,0.609,My father is super petty yo
joy,1.205,Chill facewithtearsofjoy facewithtearsofjoy
anticipation,0.547,Praying for my sister cherryblossom
joy,2.624,tongue sparkle hey pretty grl smilingfacewithhearteyes why you am not come see me petty as wearyface wearyface
trust,0.484,newmoonface droplet I dont like the shade you be throwing smilingfacewithsmilingeyes be mindful of what come out your mouth faceblowingakiss
trust,0.5,guard mediumskintone guard mediumskintone smirkingface smirkingface wassup with Saturday
sadness,0.6399999999999999,Jermaine clowned me because I wanna leave school early loudlycryingface loudlycryingface loudlycryingface
sadness,0.379,miss you more salty smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes
anger,1.656,Kaiden over here hating me right now loudlycryingface loudlycryingface loudlycryingface loudlycryingface loudlycryingface
anticipation,0.57,The week is finally here smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes
trust,0.531,Can the school year just be over pls
disgust,1.4209999999999998,you mad a shit with all them cap boy facewithtearsofjoy goodbye faceblowingakiss faceblowingakiss
joy,0.924,whats so funny facewithtearsofjoy
anticipation,0.633,you coming to see u off
trust,1.242,newmoonface newmoonface my perfect son Mother is at work still Do your homework and be in bed soon smilingface ️
sadness,0.375,Havent eaten all day and it suck
joy,1.651,you lose some amp you win some facewithtearsofjoy
joy,1.7519999999999998,facesavouringdeliciousfood facewithstuckouttonguewinkingeye bisssssh You been in school Lol I miss you sparklingheart I love hanging with you because your so funny facewithtearsofjoy facewithtearsofjoy
joy,0.924,smilingfacewithsunglasses personwearingturban airplane you the real moo tonight lol facewithtearsofjoy facewithtearsofjoy
sadness,0.379,I missed you wearyface you in the box
disgust,1.039,fire hundredpoints smilingfacewithsunglasses my bad I been Mia lately but I miss you lil ugly faceblowingakiss
anticipation,0.516,tweet wasnt bout him But what time you get off
anticipation,0.402,I get high so I dont have to deal with reality cherryblossom growingheart
anticipation,0.555,yo grown clappinghands mediumdarkskintone clappinghands mediumdarkskintone
anger,0.667,Watch me hit the strip club Make it rain like Im Kobe smilingfacewithsunglasses
joy,0.5,My baby need to come over confusedface
sadness,0.379,scissors ️ fuck Im cut facewithtearsofjoy but I miss you wearyface you been Mia lately confusedface confusedface
sadness,1.531,cry like a little as girl unamusedface
anticipation,0.5,it cold in ready go back in the house You geeking
anger,0.47,My grandparent annoying facewithtearsofjoy facewithtearsofjoy
joy,1.616,hibiscus hibiscus hibiscus I miss you bitchh Come thru again it wa fun growingheart I love you erky faceblowingakiss faceblowingakiss
joy,0.924,lol noooooooo facewithtearsofjoy
