tweet_text,sentiment,sentiment_score
Kids are way too loud and messy Just left somebody house and they kid trashed they shit and we wa there yesterday and it wa clean,disgust,2.046
Lets turn Tampa RED 2night for game 7 I want an octopus on the ice I want to hear let go red wing DetroitisHockeytown OctopiTampa octopus,disgust,0.391
Im mad a shit I am not get what I want,disgust,1.3039999999999998
I Do The Shit She Dont headphone,disgust,0.82
lmao ayo mayfield is really a gross sister,disgust,0.7190000000000001
you mad a shit with all them cap boy facewithtearsofjoy goodbye faceblowingakiss faceblowingakiss,disgust,1.4209999999999998
fire hundredpoints smilingfacewithsunglasses my bad I been Mia lately but I miss you lil ugly faceblowingakiss,disgust,1.039
Females am not shit to me if their personality are trash,disgust,1.476
Females am not shit to me if their personality are trash,disgust,1.476
Walk up in this bitch Fuck shit up then I leave hoe,disgust,1.4680000000000002
Sofia he bugging am not he bug bug,disgust,0.359
Got me on that go dumb shit,disgust,0.82
you not lying at all smh,disgust,0.976
Im Da Shit persontippinghand,disgust,0.82
Jealous X Beyoncé ft Chris brown repeatsinglebutton,disgust,0.539
lmao your going to pas me because you joined krng without them your shit lmao,disgust,0.82
I like American horror story shit just be having me confused lmao facewithtearsofjoy,disgust,1.476
someone who used to suck my dick watch my video talking shit now lmao,disgust,0.82
forkandknife poultryleg meatonbone cat cat poodle rat rat hamsterface mouseface dogface kitchenknife kitchenknife kitchenknife,disgust,0.633
your sub are all from the clan u didnt half to grind for shit u just one of them kid who hate,disgust,1.515
If u can say out your mouth that my girl is ugly I know your a child and will not further a argument with you relievedface,disgust,0.648
yeah lol it a waste of time bro,disgust,0.695
oh shit I thought that wa a random I didnt kno that wa u lmao u dont be Letting me know when it you,disgust,0.82
Thats why I stopped gw from now on every lobby I get in is a mute and blocking who ever talk shit not for the childish hate anymore,disgust,1.515
untag lmao waste of my time,disgust,0.695
exactly just cuz people got hella bread they gotta give it away I get so mad at that shit,disgust,1.3039999999999998
Yall be corny do the same shit every year and act like it be live,disgust,0.82
I hate that cant ask a woman her age shit facewithtearsofjoy,disgust,1.515
The older I get the more shit get on my nerve,disgust,0.82
We live in a world where they try to define beauty amp doing so it wa made horrible ugly,disgust,1.3039999999999998
Typical Smut bucket,disgust,0.688
Just wanna be w bae walk around naked amp watch porn relievedface smilingface smilingfacewithhearteyes,disgust,0.703
My mom know my social security number father birthday etc But DONT know SHIT ABOUT ME hundredpoints thumbsdown poutingface,disgust,0.82
Really am tired of her bullSHIT poutingface thumbsdown,disgust,0.82
Rey be on my shit,disgust,0.82
I want my boyfriend and a fat bag of crab chip wearyface facesavouringdeliciousfood,disgust,0.617
This track nation shit I see on the TL is weak af,disgust,0.82
This movie my mom got on TV is weak a shit too,disgust,0.82
So sick right now smh,disgust,0.578
when that shit happened i swear everything in the past didnt mean shit to me anymore,disgust,0.82
i wa high earlier people blew that shit,disgust,0.82
Im too old for this shit,disgust,0.82
this is just ridiculous man,disgust,0.35200000000000004
The mayor look like she could give two shit,disgust,0.82
Was about three step away from shitting myself in my own home,disgust,0.82
watching this protest is actually one of the most disgusting thing I have ever watched,disgust,0.703
Holy shit this is so funny facewithtearsofjoy loudlycryingface loudlycryingface loudlycryingface,disgust,0.82
been talking shit about her for being sick for the past few week amp bragging on my tough as immune systemIm now sick,disgust,1.3980000000000001
God I wish shit wa different,disgust,0.82
worthless piece of shit,disgust,1.3279999999999998
I just sneezed and my cat is looking at me with disgust Excuse me facewithtearsofjoy facewithtearsofjoy,disgust,1.031
I need to step back from my Twitter because this racism shit is really about to go left,disgust,0.82
Do not cut me off driving to impress the ugly bitch in UR backseat bud,disgust,1.296
shit so hard,disgust,0.82
And the worst part is Ive been reading the same shit from the same woman for year Get it together dude,disgust,0.82
Got my nail done not even 10 min n I already messed them up Well never doin that again,disgust,0.484
yes I did all of that dbq and prep shit thinkin I had probst today,disgust,0.82
year 3000 is my shit,disgust,0.82
Im mad a shit neutralface,disgust,1.3039999999999998
blister the size of UR head,disgust,0.594
my mind say go back to sleep but my stomach scream food,disgust,0.836
toilet paper confusedface,disgust,0.594
they stealing diaper loudlycryingface loudlycryingface loudlycryingface,disgust,1.179
she mad a shit amp i couldnt care le facewithtearsofjoy facewithtearsofjoy im geekin,disgust,1.3039999999999998
tweet but not replybet tht shit OKhand OKhand,disgust,0.82
thats all I had ampI you kept bugging me Skeptical annoyed undecided uneasy or hesitant,disgust,0.632
Joe dirt JR,disgust,0.5
The amount of trash I pick up and throw away everywhere I go is ridiculous,disgust,1.008
she is the biggest waste of space,disgust,0.695
Yess like yall ugly ass need the makeup facewithtearsofjoy skull clappinghands,disgust,0.648
I dont care what anyone saysour mayor is the biggest piece of shit,disgust,0.82
Yoooooo they really got trash bag full of stuff,disgust,0.6559999999999999
I cant wait to shit on you,disgust,0.82
so tireddddd zzz of this school shit son,disgust,0.82
Ima regret this shit in the morning cryingface,disgust,0.82
Ppl really am not shit loudlycryingface loudlycryingface loudlycryingface loudlycryingface,disgust,0.82
This generation goofy a shit way too many clown Who raised yall,disgust,0.82
Yall be finding the most ignorant shit funnysays a lot about yall character,disgust,1.226
Stop the careless delivery of your book and plastic bag Most of this will end up in our sewer system,disgust,0.812
THIS FACE RITE HERE MAKES ME HAPPY EVEN WHEN SHE THINKS IM NOT HAPPY IM A JEALOUS FOOL SOMETIMES…,disgust,1.0
Not dealing with this bull shit anymore cut the fuck off,disgust,0.82
Not dealing with this bull shit anymore cut the fuck off,disgust,0.82
y am I sick,disgust,0.578
i feel so queasy and crampy and i wanna go hooooome,disgust,0.633
I cant deal need to smoke or sumn I just wanna fuck shit up idk what to do w myself,disgust,0.82
made me just a little jealous just a little,disgust,0.539
Im such a sick fuck yoo,disgust,0.578
Why the fuck do I realize shit after it all too late,disgust,0.82
lol hellyea sent dat shit 2da wrong mfka,disgust,0.82
Daft Punk is the best one there,disgust,0.336
Fuck a person right to protest this shit is getting out of control,disgust,0.82
it clearly not exos you retard,disgust,0.578
Preparing for the trashion showfashion show supported trash,disgust,0.6559999999999999
lol trash smilingfacewithopenmouthcoldsweat,disgust,0.6559999999999999
Sex metal Barbie whore attention fiend,disgust,1.344
Its a difference in protesting and being IGNORANT COME ON BMORE dont give them what they classify u a raisinghands smirkingface worriedface,disgust,0.406
You disgust me,disgust,0.7190000000000001
just like their dirty as house,disgust,0.727
Its getting ugly again sleepyface poutingface yo can we just chill yo wait until we see this trial,disgust,0.648
Not having to spend money on someone that am not shit is great smilingfacewithsunglasses,disgust,0.82
so sick of people never being able to help me out lol but Im the first person theyll ask for a favor,disgust,0.578
Waste of my money x3,disgust,0.695
Hearing someone throw up is the most disgusting thing facewithmedicalmask,disgust,0.703
People think they got it figured out by the shit I say Oh nah buddy Its just icing on the cake,disgust,0.82
I understand what You saying fam But one bad apple spoil the bunch,disgust,1.008
Weird to be turning 22 in 22 minute,disgust,0.39899999999999997
Taking a break from twitter for a couple day Seeing this stuff make me sick,disgust,0.578
it really fucking weird to me how smell can bring back such vivid memory,disgust,0.7110000000000001
thats all Im saying and itd be a damn shame if it doe happen whats wrong with that,disgust,0.898
I love when people are asshole for no reason make me feel great,disgust,0.836
Steph Curry is trash,disgust,0.6559999999999999
People are so ignorant,disgust,0.406
Damn my leg are hairy,disgust,0.7809999999999999
Gag your comparing a 22 year old who is in his first playoff series to a 30 year old who is in his prime,disgust,0.711
Drinking a Keystone Light by Coors Brewing Company Harrys Pigeon Coop —,disgust,0.304
Im wit da shit,disgust,0.82
I can be such an asshole sometimes disappointedface,disgust,1.1640000000000001
Those student section seat at the game are trash lmao,disgust,0.6559999999999999
The protest look like some shit out of project X,disgust,0.82
I call it a wasted nap,disgust,1.14
shit outta luck then I feel your pain though raisedfist lightskintone,disgust,0.82
hate pig yo pigface crossmark,disgust,1.234
Im about to pick up my shit spend the night in HarCo,disgust,0.82
These fucker are ratchet a shit,disgust,0.82
Now here come the stereotype about Baltimore but most the people doing the shit arent from here,disgust,0.82
Just bring in the military and blow all their disgusting ass up Fucking pathetic,disgust,1.18
And I swear one of those idiot mess with my brother Ill go down there and run them all over try me,disgust,0.976
Thats such a basic pig name Come on,disgust,0.539
Ignorant as people,disgust,0.406
I need a fat L Or 10,disgust,0.617
Finally read about greg hardy case and holy shit how is he still in the NFL and not in jail,disgust,0.945
tbh when i first did my winged eyeliner it wa shit,disgust,0.82
I do this shit with ease clappinghands mediumdarkskintone Boumi Temple,disgust,0.82
So a person is wrong because they dont like piece of shit player Ill be wrong then sleepingface,disgust,0.82
Some girl blow my mind when it come to watching sport Now I know why guy get mad because the stupid shit that come out their mouth,disgust,1.39
Everytime I walk into a CCBC bathroom someone is shitting Like bruhhhhh,disgust,0.82
facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy yes spit,disgust,0.57
I know these fucker ass am not clean from the dinky 12 ply toilet paper Nasty as,disgust,1.297
right Im sick to my stomach,disgust,0.8899999999999999
Something about this girl scream West Virginia incest,disgust,1.352
Dont come at me you hog,disgust,0.438
irrelevant cum guzzling fag whore,disgust,0.7659999999999999
Why do straight boy always tell me fuck you Like take me to Olive Garden first or some shit,disgust,0.937
are there bug in ur basement,disgust,0.359
Everyone I follow I have their rts off so I dont have to see stupid shit,disgust,0.82
I mean she wasnt totally wrong when she said cum guzzling But Im not a whore men pay for my service with jet and Islands,disgust,0.7659999999999999
Summer in the city back of my neck gettin dirty and gritty,disgust,0.727
Until you get rung up and your shit cost double what you thought it would facewithsteamfromnose,disgust,0.82
shit why wassup,disgust,0.82
I am so tired of opening up twitter and seeing nasty sexually explicit image posted by youngster Its disgusting,disgust,1.406
She had a corpse under her bed,disgust,0.883
cat sitting these lil shit,disgust,0.82
ew wtf I look like a fat lard,disgust,0.617
that is disgusting,disgust,0.703
My bf swear he dont like chipotle but always eyeing my shit He be eating it while Im at work,disgust,0.82
true shit bud keep preaching raisedfist,disgust,0.82
Baltimore going full retard rn,disgust,0.578
Everyone on my tl ha some really stupid shit to say about these protest it kinda funny lmao,disgust,0.82
I left Shit get scary They got chopper and tank and shit They itching for an issue,disgust,0.82
thats fucking disgusting,disgust,0.703
asshole oops didnt mean that facewithstuckouttongue,disgust,0.836
You know someone is a racist when they say Im not racist but Or Im not racist I hate everyone shut up you idiot,disgust,1.187
Its crazy how some of the trashy people in Baltimore County are trying to talk shit on the protestors in the city,disgust,1.4680000000000002
Cant remember the last time my head felt like i couldnt handle shit,disgust,0.82
truest shit we gotta link soon homie blow down,disgust,0.82
Fuck the politician Fuck missionary mission Fuck beauty competition Fuck bigoted tradition selfiewhore,disgust,0.633
Aint wit this work shit at 545 in the morning,disgust,0.82
true a shit Cant even remember what you ordered and shit,disgust,0.82
Jared Leto look so sick a the Joker No one will ever compare to Heath but this still look awesome,disgust,0.578
I dont know why I got all this crap I might end up throwing it away lol,disgust,0.7809999999999999
When he try to stick it eggplant before he lick it tongue sweatdroplets smilingcatfacewithhearteyes,disgust,0.398
Good morning shit cat,disgust,0.82
I dont know if Im sick or if it just allergy neutralface,disgust,0.578
I hate feeling like shit all the time,disgust,1.656
I miss you ugly redheart ️ redheart ️,disgust,0.648
Want my hair to be dirty blonde,disgust,0.727
Want my hair to be dirty blonde,disgust,0.727
All of this is just so ridiculous,disgust,0.35200000000000004
Yo inna bck really ugly facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy skull,disgust,0.648
Because they do this shit almost everyday If a black do it they behind bar flat out hundredpoints But if a white do it they free,disgust,0.82
I need stop with this social medium shit openhands mediumskintone,disgust,0.82
Id fuck some shit up too sleepingface,disgust,0.82
ur welcome shit wearyface,disgust,0.82
who knew on a friday night all 4 of u would be sitting here watching porcupine porn nolivesatall,disgust,0.703
just the random shit i think about like if penguin have knee,disgust,0.82
