ori_sentiment,tweet_text,sentiment,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly.,joy,"['on', 'days', 'day', 'when', 'i', 'feel', 'close', 'to', 'my', 'partner', 'and', 'other', 'friends', 'friend', 'when', 'i', 'feel', 'at', 'peace', 'with', 'myself', 'and', 'also', 'experience', 'a', 'close', 'contact', 'with', 'people', 'whom', 'i', 'regard', 'greatly']",0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.255,0.0,0.0,0.0,0.0,1.0,0.43,3.0,1.9769999999999999,joy,5.0,2.255
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death.",fear,"['every', 'time', 'i', 'imagine', 'that', 'someone', 'i', 'love', 'or', 'i', 'could', 'contact', 'a', 'serious', 'illness', 'even', 'death']",1.0,0.574,1.0,0.6559999999999999,2.0,1.452,1.0,0.828,2.0,1.603,1.0,0.578,2.0,0.9139999999999999,1.0,0.758,sadness,2.0,1.603
anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,anger,"['when', 'i', 'had', 'have', 'been', 'be', 'obviously', 'unjustly', 'treated', 'treat', 'and', 'had', 'have', 'no', 'possibility', 'of', 'elucidating', 'elucidate', 'this']",1.0,0.175,1.0,0.078,1.0,0.094,1.0,0.529,1.0,0.076,1.0,0.312,2.0,1.157,2.0,0.8520000000000001,anticipation,2.0,1.157
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,sadness,"['when', 'i', 'think', 'about', 'the', 'short', 'time', 'that', 'we', 'live', 'and', 'relate', 'it', 'to', 'the', 'periods', 'period', 'of', 'my', 'life', 'when', 'i', 'think', 'that', 'i', 'did', 'do', 'not', 'use', 'this', 'short', 'time']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.844,0.0,0.0,0.0,0.0,1.0,0.516,0.0,0.0,joy,2.0,0.844
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,disgust,"['at', 'a', 'gathering', 'gather', 'i', 'found', 'find', 'myself', 'involuntarily', 'sitting', 'sit', 'next', 'to', 'two', 'people', 'who', 'expressed', 'express', 'opinions', 'opinion', 'that', 'i', 'considered', 'consider', 'very', 'low', 'and', 'discriminating']",0.0,0.0,1.0,0.555,0.0,0.0,1.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484,disgust,1.0,0.555
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,shame,"['when', 'i', 'realized', 'realize', 'that', 'i', 'was', 'be', 'directing', 'direct', 'the', 'feelings', 'feeling', 'of', 'discontent', 'with', 'myself', 'at', 'my', 'partner', 'and', 'this', 'way', 'was', 'be', 'trying', 'try', 'to', 'put', 'the', 'blame', 'on', 'him', 'he', 'instead', 'of', 'sorting', 'sort', 'out', 'my', 'own', 'feeliings', 'feeliing']",3.0,1.055,3.0,0.852,2.0,0.5619999999999999,2.0,0.692,2.0,0.7149999999999999,1.0,0.359,1.0,0.555,1.0,0.518,anger,3.0,1.055
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered.,guilt,"['i', 'feel', 'guilty', 'when', 'when', 'i', 'realize', 'that', 'i', 'consider', 'material', 'things', 'thing', 'more', 'important', 'than', 'caring', 'for', 'my', 'relatives', 'relative', 'i', 'feel', 'very', 'self', 'centered', 'center']",1.0,0.591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.609,0.0,0.0,0.0,0.0,3.0,1.734,trust,3.0,1.734
joy,After my girlfriend had taken her exam we went to her parent is place.,joy,"['after', 'my', 'girlfriend', 'had', 'have', 'taken', 'take', 'her', 'she', 'exam', 'we', 'went', 'go', 'to', 'her', 'she', 'parent', 'is', 'be', 'place']",0.0,0.0,0.0,0.0,1.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,1.0,0.359
fear,"When, for the first time I realized the meaning of death.",fear,"['when', 'for', 'the', 'first', 'time', 'i', 'realized', 'realize', 'the', 'meaning', 'of', 'death']",1.0,0.574,1.0,0.6559999999999999,1.0,0.843,0.0,0.0,1.0,0.915,1.0,0.578,2.0,0.9139999999999999,0.0,0.0,sadness,1.0,0.915
anger,When a car is overtaking another and I am forced to drive off the road.,anger,"['when', 'a', 'car', 'is', 'be', 'overtaking', 'overtake', 'another', 'and', 'i', 'am', 'be', 'forced', 'force', 'to', 'drive', 'off', 'the', 'road']",1.0,0.418,0.0,0.0,2.0,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,2.0,0.835
