sentiment,sentiment_count,sentiment_score,tweet_text
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.758,RT The devestation impacting our communities right now is overwhelming. #BreonnaTaylor was one of the healthcare professio…
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.867,RT YOU have the responsibility to do your research! Don't be so surprised that I as a Mexican-American stand proudly with #Blac…
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
surprise,1.0,0.508,"RT via In an anti-racist move that demonstrates their formidable power, K-Pop fans took over the #whitelivesmatte…"
