sentiment,sentiment_count,sentiment_score,tweet_text
disgust,3.0,1.344,Racists who are shielded by their own privilege often throw out superficially accurate but nevertheless misleading statistics to try and discredit the reality that America still has a terrible #racism problem. My answer to one such fool. #BlackLivesMatter
disgust,2.0,0.976,"they have been lying about this here land, being the land of the free...for four hundred and one years now. #RIPGeorgeFloyd #ICantBreathe #justiceforFloyd #BlackLivesMatter"
disgust,2.0,1.226,"Go thru these bitches tweets one day it is ""fuck you bullet bag"" now it is ""omg I can not believe how they did George Floyd "" you hypocrites"
disgust,3.0,1.8980000000000001,This is why MGNA is offensive to us!!!! America was not great to George Floyd or Ahmaud Arbery in 2020. This same America was not great to Emmit Till in 1955.... America has never been great to blacks and it is sickening for our communities to have to live in fear. i am sick of this!
disgust,2.0,1.133,"i am really confused, it is like the powers at be are making a mockery of the people. How can we be talking about the exact same issue every week, but nothing is done to fix it? A new death, More social media posts, Nothing done #BlackLivesMatter"
disgust,2.0,1.523,"The video of George Floyd is actually disgusting, you are telling me you can justify keeping your knee on someone is neck for 5+ minutes as the man is telling you he can not breathe. Anyone who thinks that shit was okay has some serious issues"
disgust,5.0,2.329,"i am physically feeling sick when I realize in what a cruel world we live in. George Floyd did not do a single thing wrong and they just took his life away like it is nothing. How are you able to do something so evil to a human, it just does not come to my mind..."
disgust,2.0,1.226,"!!!!! WHOS LIVES ARE IN JEPORADY EVERY SINGLE DAY FROM THE MINUTE THEY WALK OUT OF THEIR HOUSE??? Shit they do not even have to walk out of their own house and they will still be killed!!! #BlackLivesMatter !!! You are IGNORANT if you try to justify ""all lives matter"""
disgust,2.0,1.4169999999999998,"this makes me sick. this is not his job, this is murder. I pray for the world we live in. #blacklivesmatter"
disgust,2.0,1.476,"Oh because I thought a non-black person, who heavily indulges in black culture and black identity, but never got shit to say during moments of black oppression said sum #BlackLivesMatter"
disgust,3.0,2.089,"A man was murdered and the slime that killed him has not been brought to justice. If the decisions of others to loot changes how you see that or outrages you more than George floyd is murder does, I will not be associated with you."
disgust,2.0,1.3780000000000001,You arrested a camera crew but the pigs who murdered #GeorgeFloyd remain free.
disgust,2.0,1.659,Holy shit. This coming from the woman who refused to hold a *single* officer accountable during her tenure as DA...including the officer that went on to murder George Floyd.
disgust,2.0,1.094,#blacklivesmatter and we am not out here for no coward ass pigs.
disgust,4.0,2.024,"the hatred you spew infects the weak-of-mind. On 11.03 we will administers the vaccine when we crush you, legally and peacefully. #BlackLivesMatter #VoteBlueToSaveAmerica2020"
disgust,3.0,1.5490000000000002,Two docs who I highly admire believe that the autopsy of George Floyd was a misleading sham.
disgust,2.0,1.1869999999999998,Finding George Floyd old porn video was so disrespectful
disgust,2.0,1.5419999999999998,"I do not care if George Floyd was a bodyguard porn actor gospel singer he was unarmed, handcuffed and murdered"
disgust,4.0,2.4490000000000003,"If you try to ""find dirt"" to convince yourself George Floyd was a bad person, you are absolute garbage. He was MURDERED."
disgust,2.0,1.523,"this shit is DISGUSTING. but have it be a re-enactment of literally ANYTHING ELSE & the entire world will be up in flames about it! fuck the system, fuck the president! BLACK LIVES MATTER TODAY AND ALWAYS! not just when everyone is talking about it!"
disgust,2.0,1.3039999999999998,"If you say these protests are ugly without saying that #georgefloyd is death was too, I am not got the time for you. #Raleigh #Minneapolis"
disgust,2.0,1.14,"i just had enough time wasted on ignorance for the rest of my life. it is a choice not to understand the reality of why black lives matter. at this point, if you do not get it FUCK YOU."
disgust,2.0,1.274,"I was a teenage vandal & grifter. I was chased by cops, arrested twice & beat up once. i have been embarrassed a long time for how I acted then. i am also ashamed I got away w/ what I got away with. It was because I was a WHITE, suburban, skate-punk asshole. #BlackLivesMatter"
disgust,2.0,1.409,There could not be more legit reason to rise up than #georgefloyd is murder and there could not be a more legit time than now. Yes it is messy. Sure we do not know where it ends up. But we are moving in right direction &amp; anyone not here for it needs to get their heads straight
disgust,2.0,1.2109999999999999,"NON BLACK ALLIES: if you see white people looting and damaging property, SHUT THAT SHIT DOWN. We are here LIFT VOICES, not damage the message. #richmondprotest #RVA #blacklivesmatter #rva"
disgust,5.0,2.9369999999999994,You looters are disgusting losers. What a waste of life. Sad disgraceful generation who the F would be part of such a thing. LOSERS you people hv zero values or morals. This has NOTHING to do w #GeorgeFloyd just a bunch of punks. Gross #Anonymous
disgust,2.0,1.433,"Police ESCORT gun-wearing extremists, but brutally murder unarmed Black men. Gutted by this injustice. Recommitting to #WearOrange #KeepGoing #protests2020 #GeorgeFloyd #JusticeForGeorgeFloyd #BLACK_LIVES_MATTER"
disgust,2.0,1.117,"Ok in all seriousness let is stop talking about Franks post. We all wanted him to say something and he did. Was it perfect? Nah, but Im not wasting anymore time dissecting his words while there is still work to do. #BlackLivesMatter"
disgust,3.0,2.315,Derek Chauvin arrested. MN Attorney General Keith Ellison is taking over the George Floyd murder case FBI opens an investigation into the death of Breonna Taylor. Shit got flipped on its head and i am supposed to believe it would have happened if everyone just chilled?
