Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,anger,"['shut', 'up', 'hashtags', 'are', 'cool', 'offended']","[""'shut"", 'up', 'hashtag', 'be', 'cool', 'offend']",anger,2.0,1.4020000000000001,6.0,0.6697433781000778,6.0,0.9930363786162264,6.0,0.519301407192979,6.0,0.4808618999136496,6.0,0.4766314473162904,6.0,0.818523600754155,disgust,6.0,0.9930363786162264
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,anger,"['it', 'makes', 'me', 'so', 'fucking', 'irate', 'jesus', 'nobody', 'is', 'calling', 'people', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']","['it', 'make', ""me'"", ""so'"", 'fuck', 'irate', 'jesus', 'nobody', 'be', 'call', 'people', ""who'"", 'like', 'hajime', 'abusive', 'stop', 'with', ""the'"", 'strawmen', 'lmao']",anger,1.0,0.8440000000000001,15.0,1.9358017347345555,15.0,2.2359445267007123,13.0,1.1336801287139167,15.0,1.2626347454329285,13.0,1.0451629349562586,14.0,2.673172752681846,surprise,14.0,2.673172752681846
Lol Adam the Bull with his fake outrage...,anger,0.417,anger,"['lol', 'adam', 'the', 'bull', 'with', 'his', 'fake', 'outrage']","['lol', 'adam', ""the'"", 'bull', 'with', 'he', 'fake', 'outrage']",anger,1.0,0.848,5.0,0.7720524306123622,5.0,0.7368739236610065,5.0,0.2869419229466792,5.0,0.5653981772167932,5.0,0.40637692463836445,5.0,0.4597698393477312,anger,5.0,0.7720524306123622
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0.354,anger,"['passed', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'car', 'crash', 'as', 'he', 'was', 'leaving', 'an', 'atl', 'strip', 'club', 'that', 'is', 'rough', 'stuff']","['pass', 'away', 'early', 'this', 'morning', 'in', ""a'"", 'fast', 'and', 'furious', 'style', 'car', 'crash', 'as', 'he', 'be', 'leave', 'a', 'atl', 'strip', 'club', 'that', 'be', 'rough', 'stuff']",sadness,4.0,1.273,17.0,2.0546855201966845,17.0,2.212779174815284,18.0,2.4178396660469166,18.0,1.7277796132867795,17.0,2.4447339775255874,18.0,2.7173948419736,surprise,18.0,2.7173948419736
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,0.438,anger,"['lol', 'wow', 'i', 'was', 'gon', 'na', 'say', 'really', 'haha', 'have', 'you', 'seen', 'chris', 'or', 'nah', 'you', 'do', 'nt', 'even', 'snap', 'me', 'anymore', 'dude']","['lol', 'wow', ""i'"", 'be', 'go', ""na'"", 'say', 'really', ""haha'"", 'have', 'you', 'see', 'chris', 'or', 'nah', 'you', 'do', 'not', 'even', 'snap', ""me'"", 'anymore', 'dude']",,0.0,0.0,16.0,1.9354599310212617,17.0,2.7835230350929145,17.0,1.2621739651889194,17.0,1.6512385617810053,17.0,1.2509088745963335,17.0,2.69920273299968,disgust,17.0,2.7835230350929145
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,anger,"['i', 'need', 'a', 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'an', 'olive', 'guarded', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']","['i', 'need', ""a'"", 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'a', ""'olive"", 'guard', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']",fear,2.0,0.531,14.0,1.4164668014041801,14.0,1.6090723916023262,14.0,1.2810407810823043,14.0,1.7297569258552905,14.0,1.1684144713424007,14.0,2.1354064973324762,surprise,14.0,2.1354064973324762
"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0.354,anger,"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'are', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'saw', 'about', 'you']","[""and'"", 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', ""'other"", 'be', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'see', 'about', 'you']",anger,1.0,0.885,13.0,1.5170316731442153,13.0,2.00360593625641,13.0,1.3775740234127902,13.0,1.2720414769624422,13.0,1.2086383967764085,13.0,1.7615000568288046,disgust,13.0,2.00360593625641
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0.333,anger,"['like', 'a', 'rabid', 'dog', 'i', 'pulled', 'out', 'the', 'backs', 'of', 'my', 'cupboards', 'looking', 'for', 'a', 'bakewell', 'found', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']","['like', ""a'"", 'rabid', 'dog', ""i'"", 'pull', 'out', 'the', 'back', 'of', 'my', 'cupboard', 'look', 'for', 'a', 'bakewell', 'find', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']",joy,2.0,0.894,15.0,1.5695530790988454,15.0,1.9848000889870812,15.0,1.1242829885560626,16.0,2.1386582450247085,16.0,1.4890816705489047,16.0,2.9049091357605135,surprise,16.0,2.9049091357605135
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,0.556,anger,"['it', 'is', 'very', 'telling', 'that', 'racist', 'bigots', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'that', 'is', 'worse', 'than', 'being', 'a', 'racist', 'bigot']","['it', 'be', 'very', 'tell', 'that', 'racist', 'bigot', 'always', 'resort', ""to'"", ""the'"", 'insult', 'fag', 'like', 'that', 'be', 'worse', 'than', 'be', 'a', 'racist', 'bigot']",disgust,2.0,1.252,11.0,1.6720187413030008,11.0,2.0298087282291815,10.0,0.7121042366850863,11.0,0.6720335823242571,11.0,0.942690838996045,11.0,1.7220021868506508,disgust,11.0,2.0298087282291815
Follow up. Follow through. Be #relentless. #success,anger,0.125,anger,"['follow', 'up', 'follow', 'through', 'be', 'relentless', 'success']","['follow', 'up', 'follow', 'through', ""be'"", 'relentless', 'success']",joy,1.0,0.797,3.0,0.284728199397284,3.0,0.35292896701440096,3.0,0.2603323477964771,3.0,0.36615786835445446,3.0,0.32967481957459355,3.0,0.597642750270882,surprise,3.0,0.597642750270882
@JustinRow10 dude the new madden 17? Haha,anger,0.231,anger,"['dude', 'the', 'new', 'madden', '17', 'haha']","['dude', ""the'"", 'new', 'madden', '17', 'haha']",anger,1.0,0.7190000000000001,4.0,0.2154805630744489,4.0,0.5168542498886223,4.0,0.19629422170569613,4.0,0.4553249188404762,4.0,0.23230712462719982,4.0,0.6074389979321946,surprise,4.0,0.6074389979321946
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger,0.583,anger,"['if', 'he', 'can', 'not', 'come', 'to', 'my', 'mum', ""'a"", '60th', 'after', '25', 'k', 'tweets', 'then', 'why', 'should', 'i', 'see_no_evil', 'monkey', 'bitter', 'soreloser']","['if', 'he', 'can', 'not', 'come', ""to'"", 'my', 'mum', 'a', '60th', 'after', '25', ""k'"", 'tweet', 'then', 'why', 'should', ""i'"", 'see_no_evil', 'monkey', 'bitter', 'soreloser']",,0.0,0.0,6.0,0.608484769925471,6.0,0.8623155832532368,6.0,0.48310340900881,6.0,0.5437536360136599,6.0,0.48897960806900764,6.0,0.770852940288804,disgust,6.0,0.8623155832532368
Lol little things like that make me so angry x,anger,0.604,anger,"['lol', 'little', 'things', 'like', 'that', 'make', 'me', 'so', 'angry']","['lol', 'little', 'thing', 'like', 'that', 'make', 'i', 'so', 'angry']",anger,1.0,0.8240000000000001,7.0,0.6561792729929882,7.0,0.9360556291421016,7.0,0.45823980008191134,7.0,0.6002648972649717,7.0,0.5170383828689323,7.0,1.159480542891115,surprise,7.0,1.159480542891115
