Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,anger,disgust,joy,sadness,surprise,fear,esn_sentiment,esn_sentiment_count
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,anger,"['shut', 'up', 'hashtags', 'are', 'cool', 'offended']","[""'shut"", 'up', 'hashtag', 'be', 'cool', 'offend']",anger,2.0,1.4020000000000001,amused,6.0,1.194838843469013,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,anger,"['it', 'makes', 'me', 'so', 'fucking', 'irate', 'jesus', 'nobody', 'is', 'calling', 'people', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']","['it', 'make', ""me'"", ""so'"", 'fuck', 'irate', 'jesus', 'nobody', 'be', 'call', 'people', ""who'"", 'like', 'hajime', 'abusive', 'stop', 'with', ""the'"", 'strawmen', 'lmao']",anger,1.0,0.8440000000000001,amused,15.0,2.991391380863916,1.0,1.0,7.0,1.0,1.0,0.0,joy,7.0
Lol Adam the Bull with his fake outrage...,anger,0.417,anger,"['lol', 'adam', 'the', 'bull', 'with', 'his', 'fake', 'outrage']","['lol', 'adam', ""the'"", 'bull', 'with', 'he', 'fake', 'outrage']",anger,1.0,0.848,amused,5.0,1.094905971096721,2.0,2.0,3.0,0.0,0.0,1.0,joy,3.0
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0.354,anger,"['passed', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'car', 'crash', 'as', 'he', 'was', 'leaving', 'an', 'atl', 'strip', 'club', 'that', 'is', 'rough', 'stuff']","['pass', 'away', 'early', 'this', 'morning', 'in', ""a'"", 'fast', 'and', 'furious', 'style', 'car', 'crash', 'as', 'he', 'be', 'leave', 'a', 'atl', 'strip', 'club', 'that', 'be', 'rough', 'stuff']",sadness,4.0,1.273,inspired,18.0,2.7173948419736,1.0,1.0,5.0,3.0,0.0,0.0,joy,5.0
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,0.438,anger,"['lol', 'wow', 'i', 'was', 'gon', 'na', 'say', 'really', 'haha', 'have', 'you', 'seen', 'chris', 'or', 'nah', 'you', 'do', 'nt', 'even', 'snap', 'me', 'anymore', 'dude']","['lol', 'wow', ""i'"", 'be', 'go', ""na'"", 'say', 'really', ""haha'"", 'have', 'you', 'see', 'chris', 'or', 'nah', 'you', 'do', 'not', 'even', 'snap', ""me'"", 'anymore', 'dude']",,0.0,0.0,amused,17.0,3.095445165531416,0.0,0.0,5.0,1.0,1.0,0.0,joy,5.0
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,anger,"['i', 'need', 'a', 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'an', 'olive', 'guarded', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']","['i', 'need', ""a'"", 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'a', ""'olive"", 'guard', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']",trust,2.0,1.1019999999999999,amused,14.0,2.852611198828211,0.0,0.0,2.0,1.0,0.0,0.0,joy,2.0
"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0.354,anger,"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'are', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'saw', 'about', 'you']","[""and'"", 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', ""'other"", 'be', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'see', 'about', 'you']",anger,1.0,0.885,amused,13.0,2.212553480125155,0.0,0.0,6.0,1.0,1.0,0.0,joy,6.0
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0.333,anger,"['like', 'a', 'rabid', 'dog', 'i', 'pulled', 'out', 'the', 'backs', 'of', 'my', 'cupboards', 'looking', 'for', 'a', 'bakewell', 'found', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']","['like', ""a'"", 'rabid', 'dog', ""i'"", 'pull', 'out', 'the', 'back', 'of', 'my', 'cupboard', 'look', 'for', 'a', 'bakewell', 'find', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']",anticipation,2.0,1.04,inspired,16.0,2.9049091357605135,0.0,0.0,7.0,0.0,0.0,0.0,joy,7.0
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,0.556,anger,"['it', 'is', 'very', 'telling', 'that', 'racist', 'bigots', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'that', 'is', 'worse', 'than', 'being', 'a', 'racist', 'bigot']","['it', 'be', 'very', 'tell', 'that', 'racist', 'bigot', 'always', 'resort', ""to'"", ""the'"", 'insult', 'fag', 'like', 'that', 'be', 'worse', 'than', 'be', 'a', 'racist', 'bigot']",disgust,2.0,1.252,annoyed,11.0,2.029808728229181,2.0,2.0,6.0,1.0,0.0,1.0,joy,6.0
Follow up. Follow through. Be #relentless. #success,anger,0.125,anger,"['follow', 'up', 'follow', 'through', 'be', 'relentless', 'success']","['follow', 'up', 'follow', 'through', ""be'"", 'relentless', 'success']",joy,1.0,0.797,inspired,3.0,0.597642750270882,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
@JustinRow10 dude the new madden 17? Haha,anger,0.231,anger,"['dude', 'the', 'new', 'madden', '17', 'haha']","['dude', ""the'"", 'new', 'madden', '17', 'haha']",anger,1.0,0.7190000000000001,dontcare,4.0,0.92531106084324,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger,0.583,anger,"['if', 'he', 'can', 'not', 'come', 'to', 'my', 'mum', ""'a"", '60th', 'after', '25', 'k', 'tweets', 'then', 'why', 'should', 'i', 'see_no_evil', 'monkey', 'bitter', 'soreloser']","['if', 'he', 'can', 'not', 'come', ""to'"", 'my', 'mum', 'a', '60th', 'after', '25', ""k'"", 'tweet', 'then', 'why', 'should', ""i'"", 'see_no_evil', 'monkey', 'bitter', 'soreloser']",,0.0,0.0,dontcare,6.0,1.2291293481536398,0.0,0.0,6.0,1.0,0.0,0.0,joy,6.0
Lol little things like that make me so angry x,anger,0.604,anger,"['lol', 'little', 'things', 'like', 'that', 'make', 'me', 'so', 'angry']","['lol', 'little', 'thing', 'like', 'that', 'make', 'i', 'so', 'angry']",anger,1.0,0.8240000000000001,amused,7.0,1.815544137478948,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
