ori_sentiment,tweet_text,final_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,anger,disgust,joy,sadness,surprise,fear,esn_sentiment,esn_sentiment_count
happy,Dorian Gray with Rainbow Scarf #LoveWins from,"['dorian', 'gray', 'with', 'rainbow', 'scarf', 'lovewins', 'from']",joy,1.0,0.531,amused,4.0,0.8242451458232778,0.0,0.0,3.0,0.0,1.0,0.0,joy,3.0
happy,... Replace with your wish which the artist uses in next installation! It was entralling!,"['replace', 'with', 'your', 'you', 'wish', 'which', 'the', 'artist', 'uses', 'use', 'in', 'next', 'installation', 'it', 'was', 'be', 'entralling', 'entrall']",,0.0,0.0,inspired,7.0,1.2270873000096165,0.0,0.0,7.0,0.0,0.0,0.0,joy,7.0
happy,thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression,"['thank', 'you', 'for', 'following', 'follow', 'me', 'i', 'back', 'great', 'to', 'hear', 'from', 'a', 'diverse', '&amp', 'interesting', 'panel', 'defeatingdepression']",trust,1.0,0.47700000000000004,inspired,9.0,1.8038042703987314,0.0,0.0,6.0,0.0,2.0,0.0,joy,6.0
happy,What a beautiful jewel / portrait. Is the 'R' for Rex ?,"['what', 'a', 'beautiful', 'jewel', 'portrait', 'is', 'be', 'the', 'r', 'for', 'rex']",joy,1.0,0.7809999999999999,inspired,4.0,0.8213207210135915,0.0,0.0,6.0,0.0,2.0,0.0,joy,6.0
happy,I have always loved this painting.,"['i', 'have', 'always', 'loved', 'love', 'this', 'painting']",joy,2.0,1.687,inspired,4.0,1.0823067176894323,0.0,1.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,"say wot, mate?","['say', 'wot', 'mate']",trust,2.0,0.82,sad,3.0,0.8180274320366105,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,Two workshops on evaluating audience engagement + early July,"['two', 'workshops', 'workshop', 'on', 'evaluating', 'evaluate', 'audience', 'engagement', 'early', 'july']",anticipation,1.0,0.35700000000000004,inspired,9.0,1.9459229609942104,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
nocode,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas","['a', 'forest', 'road', 'by', 'thomas', 'gainsborough', '1750', 'oil', 'on', 'canvas']",,0.0,0.0,inspired,5.0,0.9367661272767702,0.0,0.0,1.0,0.0,1.0,1.0,,0.0
happy,Lucky Good luck &amp; see you soon :,"['lucky', 'good', 'luck', 'see', 'you', 'soon']",joy,3.0,1.7520000000000002,inspired,5.0,1.0296000678585773,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... via","['the', 'two', 'works', 'work', 'in', 'our', 'we', 'free', 'ducciocaro', 'exhibition', 'play', 'with', 'space', 'movement', 'and', 'architect', 'via']",joy,1.0,0.544,inspired,10.0,1.8663384899389668,0.0,0.0,8.0,0.0,0.0,0.0,joy,8.0
happy,Yr 9 art students are off to the today. Enjoy!,"['yr', '9', 'art', 'students', 'student', 'are', 'be', 'off', 'to', 'the', 'today', 'enjoy']",joy,2.0,1.046,inspired,6.0,1.2831797119151909,0.0,0.0,3.0,1.0,0.0,0.0,joy,3.0
nocode,Indeed,['indeed'],,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
nocode,""" More #Waterloo200? Live #Periscope tonight with Dan Snow in #BonaparteAndTheBritish","['more', 'waterloo200', 'live', 'periscope', 'tonight', 'with', 'dan', 'snow', 'in', 'bonaparte', 'and', 'thebritish']",joy,1.0,0.406,inspired,5.0,1.0279763390419765,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
not-relevant,Please vote for us as #sidwell is local charity PRT,"['please', 'vote', 'for', 'us', 'we', 'as', '#sidwell', 'is', 'be', 'local', 'charity', 'prt']",joy,2.0,0.64,inspired,6.0,1.6540817613455643,0.0,0.0,5.0,0.0,0.0,0.0,joy,5.0
not-relevant,#AskTheGallery Have you got plans to privatise any other roles ?,"['ask', 'thegallery', 'have', 'you', 'got', 'get', 'plans', 'plan', 'to', 'privatise', 'any', 'other', 'roles', 'role']",anticipation,1.0,0.57,inspired,7.0,1.269781587051853,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
nocode,New digital installation by Girton Artist in Residence will be projected on the façade of the tonight from 9pm!,"['new', 'digital', 'installation', 'by', 'girton', 'artist', 'in', 'residence', 'will', 'be', 'projected', 'project', 'on', 'the', 'façade', 'of', 'the', 'tonight', 'from', '9', 'pm']",,0.0,0.0,inspired,9.0,1.4162391360842796,0.0,0.0,7.0,1.0,1.0,0.0,joy,7.0
happy,so beautiful,"['so', 'beautiful']",joy,1.0,0.7809999999999999,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,i am with with Sussanna at pic —,"['i', 'am', 'be', 'with', 'with', 'sussanna', 'at', 'pic']",,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
happy,awesome museum,"['awesome', 'museum']",,0.0,0.0,amused,2.0,0.4388702619149566,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
angry,#AskTheGallery Why do you pay your brilliant staff so poorly?,"['ask', 'thegallery', 'why', 'do', 'you', 'pay', 'your', 'you', 'brilliant', 'staff', 'so', 'poorly']",joy,2.0,1.101,inspired,5.0,0.7973579845428206,1.0,1.0,4.0,1.0,0.0,1.0,joy,4.0
nocode,A sneak peek #IndigenousAustralia exhibition,"['a', 'sneak', 'peek', 'indigenous', 'australia', 'exhibition']",surprise,1.0,0.6559999999999999,amused,5.0,0.92071343723324,1.0,2.0,1.0,0.0,0.0,0.0,disgust,2.0
nocode,Couldn't agree more ; counting the days till we see again !,"['could', ""n't"", 'not', 'agree', 'more', 'counting', 'count', 'the', 'days', 'day', 'till', 'we', 'see', 'again']",trust,1.0,0.43,inspired,8.0,1.3624219924416214,0.0,0.0,5.0,1.0,0.0,0.0,joy,5.0
happy,"I do, I do, I do. :","['i', 'do', 'i', 'do', 'i', 'do']",,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
happy,one of my favourite paintings! He was a great artist,"['one', 'of', 'my', 'favourite', 'paintings', 'painting', 'he', 'was', 'be', 'a', 'great', 'artist']",,0.0,0.0,inspired,6.0,1.4526962203681626,1.0,1.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,Free CPD afternoon for 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at,"['free', 'cpd', 'afternoon', 'for', '2016', 'war', 'games', 'exhibition', 'on', 'thurs', '2', 'jul', 'from', '4', 'pm', '#plymouth', 'details', 'detail', 'at']",fear,1.0,0.9420000000000001,happy,10.0,2.0020652637302025,0.0,0.0,5.0,0.0,2.0,0.0,joy,5.0
happy,The Magna Carta exhibition was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,"['the', 'magna', 'carta', 'exhibition', 'was', 'be', 'quite', 'extraordinary', 'very', 'imaginatively', 'done', 'do', 'even', 'a', 'bit', 'of', 'tony', 'hancock', 'in', 'there']",,0.0,0.0,inspired,11.0,2.397440299702038,0.0,0.0,5.0,1.0,0.0,0.0,joy,5.0
