ori_sentiment,text,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.,"['on', 'days', 'when', 'i', 'feel', 'close', 'to', 'my', 'partner', 'and', 'other', 'friends', 'when', 'i', 'feel', 'at', 'peace', 'with', 'myself', 'and', 'also', 'experience', 'a', 'close', 'contact', 'with', 'people', 'whom', 'i', 'regard', 'greatly']","[""'o"", ""n'"", 'day', 'when', ""i'"", 'feel', 'close', ""to'"", 'my', 'partner', 'and', ""'other"", 'friend', 'when', ""i'"", 'feel', 'at', 'peace', 'with', 'myself', 'and', 'also', 'experience', 'a', 'close', 'contact', 'with', 'people', 'whom', 'i', 'regard', 'greatly']",joy,5.0,2.255,surprise,14.0,2.5728213762497467,joy,13.0
fear,"Every time I imagine that someone I love or I could contact a  serious illness, even death.","['every', 'time', 'i', 'imagine', 'that', 'someone', 'i', 'love', 'or', 'i', 'could', 'contact', 'a', 'serious', 'illness', 'even', 'death']","['every', 'time', ""i'"", 'imagine', 'that', 'someone', ""i'"", 'love', 'or', ""i'"", 'could', 'contact', 'a', 'serious', 'illness', 'even', 'death']",sadness,2.0,1.603,surprise,11.0,2.0153158324711624,joy,3.0
anger,When I had been obviously unjustly treated and had no possibility  of elucidating this.,"['when', 'i', 'had', 'been', 'obviously', 'unjustly', 'treated', 'and', 'had', 'no', 'possibility', 'of', 'elucidating', 'this']","['when', ""i'"", 'have', 'be', 'obviously', 'unjustly', 'treat', 'and', 'have', ""no'"", 'possibility', 'of', 'elucidating', 'this']",joy,1.0,0.529,surprise,6.0,1.5623827148244338,joy,4.0
sadness,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time.","['when', 'i', 'think', 'about', 'the', 'short', 'time', 'that', 'we', 'live', 'and', 'relate', 'it', 'to', 'the', 'periods', 'of', 'my', 'life', 'when', 'i', 'think', 'that', 'i', 'did', 'not', 'use', 'this', 'short', 'time']","['when', ""i'"", 'think', 'about', ""the'"", 'short', 'time', 'that', ""we'"", 'live', 'and', 'relate', 'it', ""to'"", ""the'"", 'period', 'of', 'my', 'life', 'when', ""i'"", 'think', 'that', ""i'"", 'do', 'not', 'use', 'this', 'short', 'time']",joy,2.0,0.844,surprise,9.0,1.7032524714264452,joy,9.0
disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating.","['at', 'a', 'gathering', 'i', 'found', 'myself', 'involuntarily', 'sitting', 'next', 'to', 'two', 'people', 'who', 'expressed', 'opinions', 'that', 'i', 'considered', 'very', 'low', 'and', 'discriminating']","['at', ""a'"", 'gather', ""i'"", 'find', 'myself', 'involuntarily', 'sit', 'next', ""to'"", 'two', 'people', ""who'"", 'express', 'opinion', 'that', ""i'"", 'consider', 'very', 'low', 'and', 'discriminating']",disgust,1.0,0.555,surprise,18.0,2.994964480646536,joy,13.0
shame,"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings.","['when', 'i', 'realized', 'that', 'i', 'was', 'directing', 'the', 'feelings', 'of', 'discontent', 'with', 'myself', 'at', 'my', 'partner', 'and', 'this', 'way', 'was', 'trying', 'to', 'put', 'the', 'blame', 'on', 'him', 'instead', 'of', 'sorting', 'out', 'my', 'own', 'feeliings']","['when', ""i'"", 'realize', 'that', ""i'"", 'be', 'direct', ""the'"", 'feeling', 'of', 'discontent', 'with', 'myself', 'at', 'my', 'partner', 'and', 'this', 'way', 'be', 'try', ""to'"", 'put', ""the'"", 'blame', 'on', 'he', 'instead', 'of', 'sorting', 'out', 'my', 'own', 'feeliing']",anger,3.0,1.055,surprise,15.0,3.0492916378967316,joy,14.0
guilt,"I feel guilty when when I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered.","['i', 'feel', 'guilty', 'when', 'when', 'i', 'realize', 'that', 'i', 'consider', 'material', 'things', 'more', 'important', 'than', 'caring', 'for', 'my', 'relatives', 'i', 'feel', 'very', 'self', 'centered']","[""'i"", 'feel', 'guilty', 'when', 'when', ""i'"", 'realize', 'that', ""i'"", 'consider', 'material', 'thing', 'more', 'important', 'than', 'caring', 'for', 'my', 'relative', ""i'"", 'feel', 'very', 'self', 'center']",sadness,1.0,0.609,surprise,14.0,2.836489428567961,joy,12.0
joy,"After my girlfriend had taken her exam we went to her parent's  
place.","['after', 'my', 'girlfriend', 'had', 'taken', 'her', 'exam', 'we', 'went', 'to', 'her', 'parent', 'is', 'place']","['after', 'my', 'girlfriend', 'have', 'take', 'she', 'exam', ""we'"", 'go', ""to'"", 'she', 'parent', 'be', 'place']",fear,1.0,0.359,surprise,8.0,1.4028908078972255,joy,6.0
fear,"When, for the first time I realized the meaning of death.","['when', 'for', 'the', 'first', 'time', 'i', 'realized', 'the', 'meaning', 'of', 'death']","['when', 'for', ""the'"", 'first', 'time', ""i'"", 'realize', ""the'"", 'meaning', 'of', 'death']",sadness,1.0,0.915,surprise,6.0,1.3585045793070911,joy,4.0
anger,"When a car is overtaking another and I am forced to drive off the  
road.","['when', 'a', 'car', 'is', 'overtaking', 'another', 'and', 'i', 'am', 'forced', 'to', 'drive', 'off', 'the', 'road']","['when', 'be', 'car', 'be', 'overtake', 'another', 'and', 'i', 'be', 'force', ""to'"", 'drive', 'off', ""the'"", 'road']",fear,2.0,0.835,anger,8.0,1.122114783986896,joy,3.0
sadness,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand.","['when', 'i', 'recently', 'thought', 'about', 'the', 'hard', 'work', 'it', 'takes', 'to', 'study', 'and', 'how', 'one', 'wants', 'to', 'try', 'something', 'else', 'when', 'i', 'read', 'a', 'theoretical', 'book', 'in', 'english', 'that', 'i', 'did', 'not', 'understand']","['when', ""i'"", 'recently', 'think', 'about', ""the'"", 'hard', 'work', 'it', 'take', ""to'"", 'study', 'and', 'how', 'one', 'want', ""to'"", 'try', 'something', 'else', 'when', ""i'"", 'read', ""a'"", 'theoretical', 'book', 'in', 'english', 'that', ""i'"", 'do', 'not', 'understand']",,0.0,0.0,surprise,19.0,3.9106186945756356,joy,13.0
disgust,When I found a bristle in the liver paste tube.,"['when', 'i', 'found', 'a', 'bristle', 'in', 'the', 'liver', 'paste', 'tube']","['when', ""i'"", 'find', 'a', 'bristle', 'in', ""the'"", 'liver', 'paste', 'tube']",,0.0,0.0,sadness,6.0,1.678338305508365,joy,4.0
shame,"When I was tired and unmotivated, I shouted at my girlfriend and  
and brought up negative sides of her character which are actually  
not so important.","['when', 'i', 'was', 'tired', 'and', 'unmotivated', 'i', 'shouted', 'at', 'my', 'girlfriend', 'and', 'and', 'brought', 'up', 'negative', 'sides', 'of', 'her', 'character', 'which', 'are', 'actually', 'not', 'so', 'important']","['when', ""i'"", 'be', 'tired', 'and', 'unmotivated', ""i'"", 'shout', 'at', 'my', 'girlfriend', 'and', 'and', 'bring', 'up', 'negative', 'side', 'of', 'she', 'character', 'which', 'be', 'actually', 'not', ""so'"", 'important']",anger,1.0,0.667,surprise,13.0,2.300145136139028,joy,4.0
guilt,"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time.","['when', 'i', 'think', 'that', 'i', 'do', 'not', 'study', 'enough', 'after', 'the', 'weekend', 'i', 'think', 'that', 'i', 'should', 'have', 'been', 'able', 'to', 'have', 'accomplished', 'something', 'during', 'that', 'time']","['when', ""i'"", 'think', 'that', ""i'"", ""do'"", 'not', 'study', 'enough', 'after', ""the'"", 'weekend', ""i'"", 'think', 'that', ""i'"", 'should', 'have', 'be', 'able', ""to'"", 'have', 'accomplish', 'something', 'during', 'that', 'time']",joy,3.0,1.6130000000000002,surprise,9.0,1.8832888480231564,joy,10.0
joy,When I pass an examination which I did not think I did well.,"['when', 'i', 'pass', 'an', 'examination', 'which', 'i', 'did', 'not', 'think', 'i', 'did', 'well']","['when', ""i'"", 'pass', 'a', 'examination', 'which', ""i'"", 'do', 'not', 'think', ""i'"", 'do', 'well']",surprise,1.0,0.32,surprise,4.0,0.7144415456210176,joy,2.0
fear,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident.","['when', 'one', 'has', 'arranged', 'to', 'meet', 'someone', 'and', 'that', 'person', 'arrives', 'late', 'in', 'the', 'meantime', 'one', 'starts', 'thinking', 'about', 'all', 'that', 'could', 'have', 'gone', 'wrong', 'e.g', 'a', 'traffic', 'accident']","['when', 'one', 'have', 'arrange', ""to'"", 'meet', 'someone', 'and', 'that', 'person', 'arrive', 'late', 'in', ""the'"", 'meantime', 'one', 'start', 'think', 'about', 'all', 'that', 'could', 'have', 'go', 'wrong', 'e.g', 'a', 'traffic', 'accident']",sadness,3.0,1.0939999999999999,surprise,20.0,3.285349129611406,joy,10.0
anger,When one is unjustly accused of something one has not done.,"['when', 'one', 'is', 'unjustly', 'accused', 'of', 'something', 'one', 'has', 'not', 'done']","['when', 'one', 'be', 'unjustly', 'accuse', 'of', 'something', 'one', 'have', 'not', 'do']",anger,1.0,0.6409999999999999,anger,6.0,1.1385492262320573,joy,5.0
sadness,When one's studies seem hopelessly difficult and uninteresting.  ,"['when', 'one', 'is', 'studies', 'seem', 'hopelessly', 'difficult', 'and', 'uninteresting']","['when', 'one', 'be', 'study', 'seem', 'hopelessly', 'difficult', 'and', 'uninteresting']",fear,1.0,0.359,surprise,7.0,1.6813791318229394,joy,4.0
disgust,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted.","['when', 'one', 'finds', 'out', 'that', 'someone', 'you', 'know', 'is', 'not', 'at', 'all', 'like', 'one', 'had', 'thought', 'for', 'instance', 'friends', 'who', 'steal', 'and', 'things', 'like', 'that', 'quite', 'unwarranted']","['when', 'one', 'find', 'out', 'that', 'someone', 'you', 'know', 'be', 'not', 'at', 'all', 'like', 'one', 'have', 'think', 'for', 'instance', 'friend', ""who'"", 'steal', 'and', 'thing', 'like', 'that', 'quite', 'unwarranted']",joy,2.0,0.9710000000000001,surprise,16.0,3.0526060093725094,joy,14.0
shame,"When one has been unjust, stupid towards someone else. ","['when', 'one', 'has', 'been', 'unjust', 'stupid', 'towards', 'someone', 'else']","['when', 'one', 'have', 'be', 'unjust', 'stupid', 'towards', 'someone', 'else']",anger,1.0,0.53,surprise,6.0,1.177735872188124,joy,4.0
guilt,When one has neglected or been unjust to a good friend.,"['when', 'one', 'has', 'neglected', 'or', 'been', 'unjust', 'to', 'a', 'good', 'friend']","['when', 'one', 'have', 'neglect', 'or', 'be', 'unjust', ""to'"", 'a', 'good', 'friend']",joy,2.0,1.018,surprise,6.0,1.135655939372747,joy,3.0
joy,Passing an exam I did not expect to pass.,"['passing', 'an', 'exam', 'i', 'did', 'not', 'expect', 'to', 'pass']","['passing', 'a', 'exam', ""i'"", 'do', 'not', 'expect', ""to'"", 'pass']",fear,1.0,0.359,surprise,4.0,0.7323262421579844,,0.0
fear,"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable.","['when', 'i', 'climbed', 'up', 'a', 'tree', 'to', 'pick', 'apples', 'the', 'angle', 'of', 'the', 'ladder', 'i', 'was', 'on', 'did', 'not', 'enable', 'me', 'to', 'get', 'high', 'enough', 'this', 'implied', 'that', 'the', 'ladder', 'was', 'not', 'very', 'stable']","['when', ""i'"", 'climb', 'up', ""a'"", 'tree', ""to'"", 'pick', 'apple', ""the'"", 'angle', 'of', ""the'"", 'ladder', ""i'"", 'be', 'on', 'do', 'not', 'enable', ""me'"", ""to'"", 'get', 'high', 'enough', 'this', 'imply', 'that', ""the'"", 'ladder', 'be', 'not', 'very', 'stable']",,0.0,0.0,surprise,15.0,2.5100516074322816,joy,7.0
guilt,When excuses are necessary and I get out of doing it myself.,"['when', 'excuses', 'are', 'necessary', 'and', 'i', 'get', 'out', 'of', 'doing', 'it', 'myself']","['when', 'excuse', 'be', 'necessary', 'and', 'i', 'get', 'out', 'of', 'do', 'it', 'myself']",,0.0,0.0,surprise,4.0,0.777027510153806,joy,4.0
