ID,tweet,affect_dimension,intensity_score,sentiment,tweet_text
2017-En-10264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,anger,shut up hashtags are cool offended
2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,anger,it makes me so fucking irate jesus nobody is calling people who like hajime abusive stop with the strawmen lmao
2017-En-11383,Lol Adam the Bull with his fake outrage...,anger,0.41700000000000004,anger,Lol Adam the Bull with his fake outrage
2017-En-11102,@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0.354,anger,passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club Thats rough stuff
2017-En-11506,@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,0.43799999999999994,anger,lol wow i was gonna say really haha have you seen chris or nah you dont even snap me anymore dude
2017-En-10779,I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,anger,I need a bentobox sushi date riceball spaghetti an olive guarded date cheesewedge and a oncomingfist mediumlightskintone Rockys date pizza
2017-En-11588,"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0.354,anger,And Republicans you namely Graham Flake Sasse and others are not safe from my wrath hence that Hillary HineyKissing ad I saw about you
2017-En-11282,@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0.33299999999999996,anger,nnLike a rabid dog I pulled out the backs of my cupboards looking for a bakewellFound a french fancie amp a mini batternburg Winner
2017-En-11507,@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,0.556,anger,its very telling that racist bigots always resort to the insult fag like thats worse than being a racist bigot
2017-En-10849,Follow up. Follow through. Be #relentless. #success,anger,0.125,anger,Follow up Follow through Be relentless success
2017-En-10640,@JustinRow10 dude the new madden 17? Haha,anger,0.231,anger,dude the new madden 17 Haha
2017-En-10946,@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger,0.583,anger,if he cant come to my Muma 60th after 25k tweets then why should I seenoevilmonkey bitter soreloser
2017-En-10940,Lol little things like that make me so angry x,anger,0.604,anger,Lol little things like that make me so angry x
2017-En-11456,One more day tiff.. One more day!,anger,0.20800000000000002,anger,One more day tiff One more day
2017-En-10869,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0.348,anger,Me being on my dean really saving a lot of people bc I dont snap nomore amp it take so much out of me
2017-En-10514,Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,0.414,anger,Who knew softballs could sting so bad Jimmy Fallon has been under a lot of heat for his ampldquosoftballamprdquo Donald Trump interview
2017-En-10448,Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,0.479,anger,Women dont like girls because we resent them for looking so greatwe wish we still looked like that washed
2017-En-21354,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,anger,wheres your outrage that your party nominated a lying corrupt person And received donations from nations who support terror
2017-En-11609,I swear I got anger issues but my heart big AF...,anger,0.604,anger,I swear I got anger issues but my heart big AF
2017-En-10537,75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,0.43799999999999994,anger,75 Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear Celtic relentless here
2017-En-11088,This is a joke @SomersetCCC #fuming,anger,0.688,anger,This is a joke fuming
2017-En-10127,I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,anger,I just love it when people make plans for me without actually including me in this process rage
2017-En-11061,"Be quick to #listen, slow to #speak, and slow to .",anger,0.121,anger,Be quick to listen slow to speak and slow to
2017-En-10563,"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,0.41700000000000004,anger,Itll be like burning rap albums theyll have to buy it first but gosh darn it they have to get rid of it
2017-En-10184,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.47200000000000003,anger,Haha Actually after the Doggies Im barracking for Anyone But GWS bitter
2017-En-10689,my wasp sting is so itchy,anger,0.35600000000000004,anger,my wasp sting is so itchy
2017-En-10631,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,0.396,anger,Grateful for all the hungry people in my life Hungry to learn change grow help etc not sure anybody has it better
2017-En-11107,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,0.542,anger,Don King is an insult to the intelligence of the Black Community What are these people thinking
2017-En-11530,@Arsenal Giroud's beard is making me angry.,anger,0.625,anger,Girouds beard is making me angry
2017-En-40971,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,anger,Ill be honest I hope that annoying Southern bint with the look at me pout goes out this week Selasi FTW
2017-En-10623,"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,0.396,anger,Well not Archie No offense but hes kinda old
2017-En-11331,@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph,anger,0.25,anger,wow not heard this in forever Random but great xph
2017-En-11147,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger,0.542,anger,Me and these burns that I pick up off the pitches dont get on at all like cryingface cryingface sting
2017-En-11158,ICQ is just making me mad!!!😤 #icq #angry,anger,0.75,anger,ICQ is just making me mad facewithsteamfromnose icq angry
2017-En-11248,"If angry, bash out your frustration on the pastry #GBBO",anger,0.53,anger,If angry bash out your frustration on the pastry GBBO
2017-En-10026,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,anger,than straight people Even the arse straight guys who think that means a threesome is fine angry fuming
2017-En-40458,@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,0.442,anger,oh dear I have to watch this the woman with the pout did well
2017-En-10481,He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,0.45799999999999996,anger,He totally knew about it Trump finally gets revenge for his soninlaws prosecutionimprisonment and throws Christie under the bus
2017-En-11344,@Dak2future decorations are up all over Jersey already #outrage,anger,0.562,anger,decorations are up all over Jersey already outrage
2017-En-11121,We're going to get City in the next round for a revenge.,anger,0.43799999999999994,anger,Were going to get City in the next round for a revenge
2017-En-10748,@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0.389,anger,or in my case a raging moody cow lol why i buy moody cow socks lol
2017-En-11559,No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂,anger,0.479,anger,No respect for people who force their opinions on to others yet get offended when someone does the same to them facewithtearsofjoy
2017-En-11141,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger,0.479,anger,Heres a tip for everyone Stop being offended End offended quit youredumb liveyourownlife
2017-En-10919,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,0.708,anger,Why to have vanity sizesNow sizes SXSevenXXS sometimes are too big What The F... Dear corporate jerks Lithuania didnt need this rant angry
2017-En-11548,"Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.",anger,0.741,anger,Ultimately KeithScott wasnt the man they were there to hand an arrest warrant to Thats what we know Thats enough to because outrage
2017-En-10221,I genuinely think I have anger issues,anger,0.604,anger,I genuinely think I have anger issues
2017-En-10479,Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger,0.45799999999999996,anger,Nick said hes territorial and hell growl if someone gets too close to me hesananimal
2017-En-11144,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger,0.562,anger,Just by getting lost I dont want to see you in my eyes Hungary huffed and crossed her arms looking away angrily
2017-En-11243,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger,0.5,anger,In fact sometimes i dont get furious at people who wrong me but i get furious at myself for being a fool
2017-En-11339,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury",anger,0.396,anger,Good luck to all FuryHaney players playing this weekend at the Future Stars showcase in Frisco Tx KGB Gtown fury
2017-En-10477,When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger,0.45799999999999996,anger,When you forget to mention you were bought dreamboys tickets facewithrollingeyes facewithtearsofjoy raging
2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",anger,0.312,anger,All this from a cigarette burning in Lauras hand the angle of her chin the purse of her lips104 Gorgeous transition
2017-En-10726,So Rangers v Celtic ll #revenge,anger,0.33299999999999996,anger,So Rangers v Celtic ll revenge
2017-En-11340,"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger,0.583,anger,Scorpios can withdraw to a quiet place after being hurt only to think of a plan to sting back
2017-En-10588,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",anger,0.41700000000000004,anger,Haha Actually after the Doggies Im barracking for Anyone But GWS
2017-En-11100,@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger,0.354,anger,I personally liked relentless …didnt get OurHouse OneJersey werealldevilsinside nDoes nothing till a puck drops NJDevils
2017-En-11426,I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me,anger,0.542,anger,I can see how this will endnIn all its bitter tragedynIll give you all I have to spendnAnd youll give nothing back to me
2017-En-10105,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708,anger,You complain all the time and then wonder why people never want to see you You acc rile me up Stfuuu
2017-En-11236,"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger,0.604,anger,Everything I see of American police training seems calculated to trample human dignity inflame outrage and escalate confrontations
2017-En-11036,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger,0.91,anger,I wanna kill you and destroy you I want you died and I want Flint back emo scene fuck die hatered
2017-En-10446,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks ,anger,0.479,anger,thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA thanks
2017-En-11634,@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me ,anger,0.542,anger,I did that 3 days later my order isnt even in the same postcode as me
2017-En-10196,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,0.625,anger,I dont think Monalisa has respect for anyone but herself I think shell ruffle a few feathers TheJail
2017-En-11678,Another loss to city in the cup next 🙈 😂😂 cmon united! ,anger,0.292,anger,Another loss to city in the cup next seenoevilmonkey facewithtearsofjoy facewithtearsofjoy cmon united
2017-En-10973,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger,0.41700000000000004,anger,So Im not being shady but one of Jongdaes ex rumoured girlfriends is going on WGM Im not saying Im over joyed but Im over joyed bitter
2017-En-10219,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,anger,0.604,anger,Unbelievable takes 10 minutes to get through to then theres a fault and the call hangs up treatcustomersfairly
2017-En-11074,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger,0.354,anger,I dont know Wasnt punk mostly about white men throwing tantrums
2017-En-10705,Skipping meals is the national way of showing #disappointment and . #wiz,anger,0.354,anger,Skipping meals is the national way of showing disappointment and wiz
2017-En-10159,"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger,0.6459999999999999,anger,hes stupid I hate him lol bitter
2017-En-11448,@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !,anger,0.354,anger,bitter sums it up Congrats Nicole thats all folks bb18 now onto survivor
2017-En-10379,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger,0.521,anger,any time a man who got paid to throw temper tantrums speaks up you gotta listen
2017-En-10248,I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,anger,0.583,anger,I wonder what would happen if I were to tell some people the truth savage uhoh angry
2017-En-40453,Cheap pout my brodcast,anger,0.23199999999999998,anger,Cheap pout my brodcast
2017-En-10797,Houston might lose a coach tomorrow or by midnight.  #yikes #offense?,anger,0.271,anger,Houston might lose a coach tomorrow or by midnight yikes offense
2017-En-10457,@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical),anger,0.479,anger,has turned into a rather fiery Good Game radical
2017-En-10120,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688,anger,Insider This man is an affront to our justice system
2017-En-10190,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt,anger,0.625,anger,When youve still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us loudlycryingface loudlycryingface oldcunt
2017-En-11210,@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended,anger,0.405,anger,wow I just realized how much of a sexist pig I am I am truly sorry to anyone I offended
2017-En-11157,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger,0.45799999999999996,anger,Howard Webb always held up as knowing the answers No red Sutton and Craigan raging Hahaha
2017-En-40403,"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",anger,0.41700000000000004,anger,With a frown she lets out a distraught Gardevoir saying that she wishes she had a trainer
2017-En-11188,some of the casuals tweets that Vic has faved are making me gag ,anger,0.6459999999999999,anger,some of the casuals tweets that Vic has faved are making me gag
2017-En-11620,@Supergold2002 Terence- got a lot of anger issues from my family and school.,anger,0.625,anger,Terence got a lot of anger issues from my family and school
2017-En-11409,@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',anger,0.604,anger,Hes spent his campaign dividing people up and pitting them against each other His message is to fear and resent the other
2017-En-10953,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger,0.33299999999999996,anger,She was winning this war that had been raging on inside of his mind The desire and love all rolling into something he
2017-En-10832,@JaredLeto Jared + #snap? 💘,anger,0.188,anger,Jared snap heartwitharrow
2017-En-11166,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger,0.7709999999999999,anger,you came in at silly oclock and woke me up thats what happened wasted fuming
2017-En-11143,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger,0.521,anger,Finally uploaded the file I needed to the university servers drop box It took like half an hour and a lot of cursing and anger on my part
2017-En-40317,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,anger,0.22899999999999998,anger,My nephew sees that i have a frown on my face and he tells me youre beautiful cryingface revolvinghearts wearyface
2017-En-10337,"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄",anger,0.542,anger,Actually be arsed with my sister sometimes she controls the TV 90 of the time and when I watch one thing she gets in a huff facewithrollingeyes
2017-En-10527,"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",anger,0.43799999999999994,anger,Just to help maintain and boost our status as a world class centre for education culture and tolerance outrage
2017-En-10141,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,0.667,anger,Theres this Bpharm4 guy Eish that guy brings anger into my life When I see him nje like darkness fills me will know
2017-En-11309,"says, who are you to compared me with the others; I'm just human. #lit #fire ",anger,0.5,anger,says who are you to compared me with the others Im just human lit fire
2017-En-11173,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger,0.521,anger,No nipples dont offend me lol But its sad to me to see women purposely flauntingsexualizing their own bodies in a very immodest way
2017-En-10938,I hope my hustle don't offend nobody,anger,0.292,anger,I hope my hustle dont offend nobody
2017-En-11626,ramos does what he does best burning haters with his head,anger,0.509,anger,ramos does what he does best burning haters with his head
2017-En-11112,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger,0.41700000000000004,anger,I wasnt meaning to offend you I was saying from personal experience Kids got placed into these classes and they take advantage
