tweet_text,sentiment,sentiment_score,tweet_text_tmp
7 Happy face smiley 0 and bitch already coming up to me facewithtearsofjoy,joy,2.524,coming 
Blessed to see another day in this beautiful world raisinghands foldedhands,joy,2.175,blessed see raisinghands 
Came home and found this blunt I lost like 3 day ago this bitch stale a shit wearyface facewithtearsofjoy facewithtearsofjoy,joy,1.7409999999999999,came found lost 
Watching RDMA2015 loving it,joy,1.707,watching loving 
happy birthday Ijae growingheart growingheart,joy,1.479,growingheart 
smilingfacewithhalo Japanesediscountbutton hey tink growingheart we had so much fun today smilingfacewithhalo I missed you so much see you Tuesday love faceblowingakiss,joy,3.241,growingheart had smiling missed see love 
kissmark kissmark I miss you bitch doubleexclamationmark ️ where you been eye come hang with me soon smilingfacewithhorns,joy,1.5779999999999998,miss come hang smiling 
tongue sparkle hey pretty grl smilingfacewithhearteyes why you am not come see me petty as wearyface wearyface,joy,2.6239999999999997,smiling come see 
you lose some amp you win some facewithtearsofjoy,joy,1.651,lose win 
facesavouringdeliciousfood facewithstuckouttonguewinkingeye bisssssh You been in school Lol I miss you sparklingheart I love hanging with you because your so funny facewithtearsofjoy facewithtearsofjoy,joy,1.7519999999999998,miss sparklingheart love hanging 
hibiscus hibiscus hibiscus I miss you bitchh Come thru again it wa fun growingheart I love you erky faceblowingakiss faceblowingakiss,joy,1.616,miss come wa growingheart love 
newmoonface my other half soul mate and more I love you little cousin growingheart this gay but you my world little girl faceblowingakiss come home amp we deep tn facewithtearsofjoy facewithtearsofjoy,joy,2.712,newmoonface love growingheart come 
neutralface your so funny to me Plus you cool smilingfacewithopenmouthcoldsweat speak more smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes,joy,1.5779999999999998,smiling speak 
your hot af smilingfacewithhearteyes fire tongue sweatdroplets,joy,1.5779999999999998,smiling 
lmao yea you do that il be right here celebrating my birthday,joy,2.505,do celebrating 
thanks bro smilingfacewithhorns,joy,1.5779999999999998,smiling 
bae relax facewithcoldsweat you could celebrate it with me,joy,1.406,relax celebrate 
thank you for saying happy birthday anyways facewithstuckouttongue facewithtearsofjoy,joy,2.403,thank saying 
celebrating every day like it is,joy,1.814,celebrating 
good you the faithful type facewithtearsofjoy,joy,2.0,
Diamond Avi facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,joy,1.4240000000000002,
Guess who here facesavouringdeliciousfood Rod is here smilingfacewithhorns fullmoonwithface,joy,1.5779999999999998,guess smiling 
yoooooo Im still laughing,joy,1.755,laughing 
I promise guy facewithtearsofjoy facewithtearsofjoy I wont make reverse Boosting a habit one high score gameplay and it gone just want to prove a point thats all,joy,1.521,promise make boosting gone want prove 
they dont have a driftor camo plus I like that it look like we may be getting the old ak47 back smilingfacewithsmilingeyes,joy,1.5779999999999998,have like look getting smiling 
Hes going to post a video about me lmao I will be happy thats a shout out for me lmao give me your sub smilingfacewithsmilingeyes,joy,2.366,going post give 
Krng Streaking get smacked on my stream lmao facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy video coming soon kid spamming me with 1v1 invite lmaoooo facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,joy,1.896,smacked coming spamming invite 
Some of yall really need to evaluate yalls life Its bigger than party Gonna be working hourly pay yall whole life,joy,1.4449999999999998,need evaluate gon working pay 
Way to tee off kid flexedbiceps mediumlightskintone smilingfacewithhorns smilingfacewithhorns go o,joy,2.093,tee smiling go 
Take me back to this game wearyface smilingfacewithhorns raisinghands,joy,1.5779999999999998,take smiling 
Im loving tweet right now smilingfacewithhearteyes smilingfacewithhearteyes clappinghands mediumdarkskintone clappinghands mediumdarkskintone raisinghands mediumdarkskintone raisinghands mediumdarkskintone raisinghands mediumdarkskintone raisinghands mediumdarkskintone,joy,1.707,clappinghands clappinghands raisinghands raisinghands raisinghands raisinghands 
Bae wa looking bomb AF bomb smilingfacewithhearteyes Curls wa POPPING smilingfacewithhearteyes facewithtearsofjoy,joy,2.502,looking popping 
My mom make me wanna not smile laugh enjoy myself cry myself to sleep everynight leave amp never come back but there a few I live for hundredpoints,joy,2.859,make wan smile enjoy cry sleep leave come live 
All I want on Saturdays is good food good sex and college football all year round,joy,1.6769999999999998,want 
