Word	ErrorFrequency	CorrectFrequency	ErrorProbability
outright	0	1	0.0
patriotic	0	1	0.0
distressing	0	1	0.0
treaty	0	1	0.0
bonnie	0	35	0.0
bushy	0	2	0.0
rack	0	20	0.0
intrude	0	2	0.0
entirely	0	24	0.0
traits	1	28	0.034482758620689655
percentages	0	3	0.0
succeeding	0	2	0.0
unworthy	0	2	0.0
gunfire	0	1	0.0
skydiving	0	108	0.0
aircraft	0	96	0.0
shredded	0	1	0.0
executioner	0	1	0.0
charcoal	0	2	0.0
newcomers	0	5	0.0
oversleeping	0	2	0.0
conducted	0	280	0.0
further	1	659	0.0015151515151515152
prestige	0	13	0.0
civilizations	0	13	0.0
overseas	1	98	0.010101010101010102
enter	1	371	0.002688172043010753
paining	0	6	0.0
altruist	0	1	0.0
antecedents	0	1	0.0
theories	0	14	0.0
dancing	11	1665	0.0065632458233890216
set	0	2011	0.0
rights	0	347	0.0
soil	0	27	0.0
mattress	0	7	0.0
excusable	0	1	0.0
pessimist	0	3	0.0
deserts	0	27	0.0
sheath	0	3	0.0
chaise	0	1	0.0
automated	0	5	0.0
newspapers	0	107	0.0
bakes	0	1	0.0
leaseholder	0	1	0.0
tableland	0	6	0.0
backside	0	2	0.0
mustaches	0	1	0.0
spiders	0	17	0.0
debaters	0	1	0.0
worsts	0	1	0.0
denoting	0	2	0.0
audacity	0	1	0.0
participates	0	3	0.0
waterline	0	4	0.0
scarecrow	0	4	0.0
treed	0	1	0.0
converse	1	10	0.09090909090909091
plasticity	0	1	0.0
chronicles	1	5	0.16666666666666666
ledger	0	7	0.0
woody	0	17	0.0
tomcat	0	2	0.0
sunrises	0	2	0.0
mouths	0	10	0.0
conga	0	1	0.0
concern	1	170	0.005847953216374269
pony	0	5	0.0
bit	0	1706	0.0
uncomfortable	3	711	0.004201680672268907
grasses	0	3	0.0
resembling	0	1	0.0
gypsum	0	2	0.0
entitled	0	73	0.0
litters	0	1	0.0
summer	11	6793	0.0016166960611405056
lest	0	13	0.0
trucks	0	32	0.0
ulcers	0	1	0.0
glows	0	2	0.0
answering	1	145	0.00684931506849315
autobiography	0	8	0.0
evil	1	95	0.010416666666666666
shuttles	0	5	0.0
overlooked	0	6	0.0
ubiquitous	0	1	0.0
correlating	0	2	0.0
luncheon	0	1	0.0
varsity	0	1	0.0
cub	0	2	0.0
bowls	0	12	0.0
recruiter	1	9	0.1
persons	1	669	0.0014925373134328358
awaking	0	1	0.0
closed	0	284	0.0
requirements	16	1331	0.011878247958426132
parent	0	55	0.0
mailman	0	2	0.0
nostrils	0	1	0.0
illumination	0	2	0.0
championships	0	6	0.0
justice	0	72	0.0
prenatal	0	1	0.0
immediacy	0	1	0.0
dramatically	0	249	0.0
bitterly	0	2	0.0
benefactor	0	1	0.0
meager	0	4	0.0
readily	0	4	0.0
unclear	0	6	0.0
seconds	0	122	0.0
legally	0	14	0.0
mouse	1	145	0.00684931506849315
worth	1	274	0.0036363636363636364
auburn	0	3	0.0
concocted	0	1	0.0
heifers	0	1	0.0
diagonal	0	1	0.0
tapping	0	3	0.0
destine	0	3	0.0
pastry	0	7	0.0
attends	0	3	0.0
lyrics	3	558	0.0053475935828877
chickens	0	80	0.0
utilization	0	2	0.0
marbling	0	1	0.0
coffins	0	2	0.0
chowed	0	1	0.0
newcomer	0	10	0.0
troubleshooting	1	4	0.2
disengage	0	1	0.0
tuberculosis	0	4	0.0
lovable	0	8	0.0
certificate	5	173	0.028089887640449437
ceremonial	0	1	0.0
shoo	0	1	0.0
transparently	0	1	0.0
powered	0	21	0.0
puts	0	66	0.0
occasionally	13	226	0.05439330543933055
behavior	2	562	0.0035460992907801418
dun	0	2	0.0
tad	0	1	0.0
swindle	0	1	0.0
forbid	0	8	0.0
explicit	0	1	0.0
shone	0	4	0.0
cohesive	0	1	0.0
viciously	0	1	0.0
darted	0	2	0.0
senior	2	189	0.010471204188481676
productive	0	53	0.0
calve	0	1	0.0
wake	1	651	0.0015337423312883436
considers	0	14	0.0
daylight	0	6	0.0
gown	0	9	0.0
grieved	0	2	0.0
maxim	0	53	0.0
discriminant	0	1	0.0
natty	0	6	0.0
hawking	0	2	0.0
utmost	0	7	0.0
afflict	0	1	0.0
gradual	0	21	0.0
leveled	0	24	0.0
evacuations	0	1	0.0
provisioning	0	1	0.0
patiently	0	9	0.0
realization	0	15	0.0
insurers	0	1	0.0
precipices	0	1	0.0
meek	0	5	0.0
prince	0	98	0.0
extremism	0	1	0.0
limits	0	59	0.0
muted	0	13	0.0
enhancements	0	1	0.0
botany	0	8	0.0
panthers	0	1	0.0
danced	0	29	0.0
licking	0	1	0.0
dictation	0	1	0.0
encyclopedia	0	3	0.0
continuity	0	7	0.0
three	12	9506	0.0012607690691321706
incurable	0	3	0.0
vibration	0	4	0.0
bronzed	0	1	0.0
shorter	0	57	0.0
crunch	0	3	0.0
strengthening	1	3	0.25
birthplace	0	4	0.0
ambulance	0	18	0.0
wavering	1	1	0.5
scads	0	1	0.0
tattoos	2	40	0.047619047619047616
role	0	252	0.0
effectiveness	0	17	0.0
necessaries	0	9	0.0
fingers	0	101	0.0
botanists	0	1	0.0
broadcasted	0	5	0.0
physiologist	0	2	0.0
dolly	0	5	0.0
penthouse	0	4	0.0
shebang	0	1	0.0
uses	0	156	0.0
courageous	0	13	0.0
abduction	0	1	0.0
numerals	0	1	0.0
parsons	0	1	0.0
extra	0	1143	0.0
waltz	0	3	0.0
inborn	0	2	0.0
seminary	0	10	0.0
predominates	0	2	0.0
flay	0	2	0.0
shift	0	42	0.0
relaxing	1	1215	8.223684210526315E-4
videos	0	46	0.0
manufactures	0	15	0.0
wand	0	12	0.0
scented	0	1	0.0
growths	0	1	0.0
mentors	0	2	0.0
duck	0	22	0.0
