id,tweet_text,sentiment,sentiment_score
10000,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger,0.938
10001,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle i would have jumped out #disgusted ,anger,0.8959999999999999
10002, I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.8959999999999999
10003,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.8959999999999999
10004,"Don't join they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.8959999999999999
10005,My blood is boiling,anger,0.875
10006,When you have still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us loudly_crying_face loudly_crying_face #raging #oldcunt,anger,0.875
10007," why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? we have already 3 weeks. #fuming",anger,0.875
10008," legit why i am so furious with him, people are such fucking idiots.",anger,0.875
10009,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875
10010,im so mad about power rangers. im incensed. im furious.,anger,0.667
10011,Wont use using again!! These guys cant get nothing right!! #fuming,anger,0.8540000000000001
10012,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.8540000000000001
10013,"Why does have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938
10014,Fuking fuming face_with_steam_from_nose ,anger,0.8540000000000001
10015,Zero help from customer service. Just pushing the buck back and forth and promising callbacks that don't happen. #anger #loathing,anger,0.8540000000000001
10016, not to mention the GRA guy stops me but let is the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.8540000000000001
10017,"I hate my lawn mower. If it had a soul, i would condemn it to the fiery pits of Hell.",anger,0.833
10018,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833
10019,i am about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812
10020,Making my buddy cry !! Bitch wait for revenge hugging_face OK_hand light_skin_tone ,anger,0.812
10021,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c team that juz destroyed your own team. You juz don't! #insult,anger,0.8909999999999999
10022,I got a NO RESPONSE again from an #irate customer of #amazon disappointed_face disappointed_face \nwhy can't they understand that it is not always amazon fault..\n#carrierfault,anger,0.812
10023,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf #murder",anger,0.812
10024," The way my blood is boiling, little bastards!",anger,0.792
10025,Actually fuming I have nothing to wear Saturday,anger,0.792
10026,. than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792
10027,Bloody parking ticket unamused_face money_with_wings #fuming,anger,0.792
10028,You ever just find that the people around you really irritate you sometimes? that is me right now unamused_face ,anger,0.792
10029,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792
10030,"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792
10031, wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger,0.792
10032,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger,0.792
10033,Since the 'update' my loses power nearly 40% faster. #furious,anger,0.792
10034, i am about to fly into a fit of rage it is not FAIR,anger,0.792
10035,Unbelievable takes 10 minutes to get through to then there is a fault and the call hangs up #fuming #treatcustomersfairly,anger,0.792
10036, We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger,0.792
10037, 'you people' infuriate me!,anger,0.792
10038, Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792
10039,So #angry about my order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger,0.7709999999999999
10040,Still can't log into my fucking Snapchat#Snapchat #snap,anger,0.9
10041, Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger,0.7709999999999999
10042,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger,0.7709999999999999
10043,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #upset #tired #sad #tired #hangry ######,anger,0.7709999999999999
10044,"Why does have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",anger,0.733
10045,i feel furious,anger,0.7709999999999999
10046,Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.7709999999999999
10047,Still can't log into my fucking Snapchat #Snapchat ,anger,0.7709999999999999
10048,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger,0.7709999999999999
10049,People irritate my MF soul,anger,0.7709999999999999
10050,Im so angry face_with_tears_of_joy upside-down_face ,anger,0.75
10051,People fuckin irritate me,anger,0.75
10052," you are a cruel, cruel man. #therewillbeblood #revenge",anger,0.84
10053,That way ur so angry you can literally feel ur blood boiling,anger,0.75
10054, this amount of greedy mooching makes me snarl.,anger,0.75
10055,My mind is raging and i just want to end it all,anger,0.75
10056,Absolutely fuming that some woman jumped into my prebooked taxi and drove off pouting_face ,anger,0.75
10057,i am nothing but a hateful and bitter fag,anger,0.75
10058, something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,0.75
10059, Ikr people still got a grudge against him for no reason like wtf?!,anger,0.75
10060, then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,0.75
10061, bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger,0.8440000000000001
10062,So angry I wanna cry crying_face crying_face crying_face ,anger,0.75
10063,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger,0.75
10064,Boycotting till butter pecan comes back. I am furious,anger,0.75
10065,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger,0.885
10066,my mom cut my phone off and i am so furious hugging_face ,anger,0.75
10067,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75
10068,can't believe Achilles killed me! #angry,anger,0.75
10069,I lost a couple niggas I want revenge so put me in coach,anger,0.875
10070, then it is poor packaging my Amazon and the fulfilled seller should be furious as much as you confused_face ,anger,0.75
10071,where is your outrage when a black man kills another black man in the streets?,anger,0.75
10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75
10073,Absolutely fuming i have just scratched all my car pouting_face pouting_face pouting_face pouting_face pouting_face pouting_face ,anger,0.75
10074, holy shit it just a bee sting like fuck you are not dying,anger,0.5529999999999999
10075,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #mad ##,anger,0.7290000000000001
10076,I dislike people who get offended by the littlest shit .,anger,0.7290000000000001
10077,"What the fuck am I supposed to do with no lunch, no dinner, no money and i am off to work #furious #hangry #day5",anger,0.7290000000000001
10078," it does. if one person ruins season 13 for me, I will be so angry",anger,0.7290000000000001
10079,"What the fuck am I supposed to do with no lunch, no dinner, no money and i am off to work #hangry #day5",anger,0.7290000000000001
10080, not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger,0.8640000000000001
10081,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle i would have jumped out #disgusted #offended,anger,0.7290000000000001
10082,"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863
10083,Just paid for chicken at and didn't even get any expressionless_face expressionless_face expressionless_face there goes 4 dollars and me as a customer #angry,anger,0.7290000000000001
10084,but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.7290000000000001
10085, you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,0.873
10086, Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry food,anger,0.5379999999999999
10087,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #wtf #murder",anger,0.7290000000000001
10088,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c team that juz destroyed your own team. You juz don't! ,anger,0.7290000000000001
