text,tweet_text,tweet_langague,nrc_sentiment,nrc_sentiment_score,afraid,afraid_score,amused,amused_score,angry,angry_score,annoyed,annoyed_score,dontcare,dontcare_score,happy,happy_score,inspired,inspired_score,sad,sad_score,dpm_sentiment,dpm_sentiment_score
The wind said Black Lives Matter ,"['The', 'wind', 'said', 'Black', 'Lives', 'Matter']",en,,0.0,2.0,0.36691862798384767,2.0,0.21548962362928736,2.0,0.22821339303460353,2.0,0.2313260878038827,2.0,0.20126412391673904,2.0,0.21121754575592216,2.0,0.2720449739899682,2.0,0.2735256238857494,afraid,0.36691862798384767
it’s not just about George Floyd he was just the straw that broke the camels back . ,"['it', 'is', 'not', 'just', 'about', 'George', 'Floyd', 'he', 'was', 'just', 'the', 'straw', 'that', 'broke', 'the', 'camels', 'back']",en,sadness,0.484,4.0,1.133367446897807,4.0,0.48598545118103287,4.0,0.36502673826501836,4.0,0.3615179614692656,4.0,0.44767108069557493,4.0,0.3229507917420765,4.0,0.5128819838296992,4.0,0.37059854591952535,afraid,1.133367446897807
Every other basic response: “We stand with our black employees :)” Ben & Jerry’s: “WE GOTTA FUCKIN SMASH WHITE SUPREMACY. FUCK THE KKK AND FUCK YOU. BLACK LIVES MATTER. OUR NEW FLAVOR IS CALLED FUCK THE POLICE. ITS GOT BLUEBERRIES”,"['Every', 'other', 'basic', 'response', 'We', 'stand', 'with', 'our', 'black', 'employees', 'Ben', '&', 'jerry', 'is', 'WE', 'GOTTA', 'FUCKIN', 'SMASH', 'WHITE', 'SUPREMACY', 'FUCK', 'THE', 'KKK', 'AND', 'FUCK', 'YOU', 'BLACK', 'LIVES', 'MATTER', 'OUR', 'NEW', 'FLAVOR', 'IS', 'CALLED', 'FUCK', 'THE', 'POLICE', 'ITS', 'GOT', 'BLUEBERRIES']",en,,0.0,6.0,0.5962561151023614,6.0,0.7211263107670726,6.0,0.9060371720671928,6.0,0.8407397248531161,6.0,0.6920441191575392,6.0,0.6251696811159789,6.0,0.9419789244067266,6.0,0.6766479525300125,inspired,0.9419789244067266
All 50 states plus 18 countries participated in #BlackLivesMatter protests as of today making it the largest civil rights movement in world history wow,"['All', '50', 'states', 'plus', '18', 'countries', 'participated', 'in', 'BlackLives', 'Matter', 'protests', 'as', 'of', 'today', 'making', 'it', 'the', 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']",en,,0.0,14.0,1.5589384502004693,14.0,1.9522889125725462,14.0,1.7839823341434393,14.0,1.8446752656254621,14.0,1.661666418063311,14.0,1.4971902260448064,14.0,2.376168252959967,14.0,1.3250901403899986,inspired,2.376168252959967
This shit is real this gave me chills #blacklivesmatter #GeorgeFloyd #dcprotest,"['This', 'shit', 'is', 'real', 'this', 'gave', 'me', 'chills', '#blacklivesmatter', 'George', 'Floyd', '#dcprotest']",en,trust,0.6409999999999999,4.0,0.4775499654546281,4.0,0.6588676467812811,4.0,0.37216753953157444,4.0,0.43957998163280415,4.0,0.7263478901470274,4.0,0.3870713565329402,4.0,0.6610415330718818,4.0,0.2773740868478629,dont_care,0.7263478901470274
"Remember black lives matter not only when it comes to police brutality but in every aspect of society. BLM in the education system where schools receive insufficient funding. BLM in the health care system where too often black ppl, especially black women, receive improper care.","['Remember', 'black', 'lives', 'matter', 'not', 'only', 'when', 'it', 'comes', 'to', 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'BLM', 'in', 'the', 'education', 'system', 'where', 'schools', 'receive', 'insufficient', 'funding', 'BLM', 'in', 'the', 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'women', 'receive', 'improper', 'care']",en,trust,1.7730000000000001,27.0,2.687850893310743,27.0,3.512129445170679,27.0,3.8336811357613385,27.0,3.570248084297349,27.0,3.3359836857020584,27.0,2.561438380507519,27.0,4.680536891296252,27.0,2.8181314839540637,inspired,4.680536891296252
when I say BLACK LIVES MATTER. I’m NOT talking about an organization. I AM talking about the literal black lives that have been stolen the past 400+ years documented and undocumented. I AM talking about the black lives of those still living. That’s all...,"['when', 'I', 'say', 'BLACK', 'LIVES', 'MATTER', 'i', 'am', 'NOT', 'talking', 'about', 'an', 'organization', 'I', 'AM', 'talking', 'about', 'the', 'literal', 'black', 'lives', 'that', 'have', 'been', 'stolen', 'the', 'past', '400', 'years', 'documented', 'and', 'undocumented', 'I', 'AM', 'talking', 'about', 'the', 'black', 'lives', 'of', 'those', 'still', 'living', 'that', 'is', 'all']",en,,0.0,17.0,1.7838396471056501,17.0,2.287234018784751,17.0,2.0923214869037507,17.0,2.4098982485662432,17.0,1.9819253653871842,17.0,1.4820871897984078,17.0,3.0491596557696683,17.0,1.9135343876843436,inspired,3.0491596557696683
The policeman said “You can record this because I need other people to hear this” Please stop blaming peaceful protestors and the Black Lives Matter movement for the destruction of various cities. A large amount of the destruction have come from white supremist groups. ,"['The', 'policeman', 'said', 'You', 'can', 'record', 'this', 'because', 'I', 'need', 'other', 'people', 'to', 'hear', 'this', 'Please', 'stop', 'blaming', 'peaceful', 'protestors', 'and', 'the', 'Black', 'Lives', 'Matter', 'movement', 'for', 'the', 'destruction', 'of', 'various', 'cities', 'A', 'large', 'amount', 'of', 'the', 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'groups']",en,,0.0,20.0,2.5280190040182156,20.0,2.3707334872918584,20.0,3.055833921794925,20.0,2.678543595609868,20.0,2.0196480302659015,20.0,1.8128075768562302,20.0,3.041588101547763,20.0,2.492826282615238,angry,3.055833921794925
"Since George Floyd was murdered 49 days ago, there have been AT LEAST 767 documented cases of police brutality. That’s almost 16 a day. ","['Since', 'George', 'Floyd', 'was', 'murdered', '49', 'days', 'ago', 'there', 'have', 'been', 'AT', 'LEAST', '767', 'documented', 'cases', 'of', 'police', 'brutality', 'that', 'is', 'almost', '16', 'a', 'day']",en,,0.0,9.0,1.23548399978126,9.0,1.0589824009853448,9.0,1.7474616207663811,9.0,1.1249717076858103,9.0,0.8704097995867411,9.0,0.6942584065472535,9.0,1.0830862713724871,9.0,1.1853457932747222,angry,1.7474616207663811
"look who my sister caught at Cub Foods in Plymouth. J. Alexander Keung, one of the officers who lynched #GeorgeFloyd in cold blood. ","['look', 'who', 'my', 'sister', 'caught', 'at', 'Cub', 'Foods', 'in', 'Plymouth', 'J.', 'Alexander', 'Keung', 'one', 'of', 'the', 'officers', 'who', 'lynched', 'GeorgeFloyd', 'in', 'cold', 'blood']",en,,0.0,8.0,0.7170220605936561,8.0,0.9979614928034128,8.0,1.159321219622768,8.0,0.9014221736129768,8.0,0.9290373164187467,8.0,0.7340019278443518,8.0,1.0762281868662462,8.0,1.4850056222378416,sad,1.4850056222378416
