Word	ErrorFrequency	CorrectFrequency	ErrorProbability
outright	0	1	0.0
patriotic	0	1	0.0
distressing	0	1	0.0
treaty	0	1	0.0
bonnie	0	35	0.0
bushy	0	2	0.0
rack	0	20	0.0
intrude	0	2	0.0
entirely	0	24	0.0
traits	1	28	0.034482758620689655
percentages	0	3	0.0
succeeding	0	2	0.0
unworthy	0	2	0.0
gunfire	0	1	0.0
skydiving	2	108	0.01818181818181818
aircraft	2	96	0.02040816326530612
shredded	0	1	0.0
executioner	0	1	0.0
charcoal	0	2	0.0
newcomers	1	5	0.16666666666666666
oversleeping	0	2	0.0
conducted	4	280	0.014084507042253521
further	23	659	0.03372434017595308
prestige	0	13	0.0
civilizations	0	13	0.0
overseas	7	98	0.06666666666666667
enter	6	371	0.015915119363395226
paining	0	6	0.0
altruist	0	1	0.0
antecedents	0	1	0.0
theories	0	14	0.0
dancing	40	1665	0.02346041055718475
set	7	2011	0.003468780971258672
rights	16	347	0.0440771349862259
soil	0	27	0.0
mattress	1	7	0.125
excusable	0	1	0.0
pessimist	0	3	0.0
deserts	0	27	0.0
sheath	0	3	0.0
chaise	0	1	0.0
automated	0	5	0.0
newspapers	2	107	0.01834862385321101
bakes	0	1	0.0
leaseholder	0	1	0.0
tableland	0	6	0.0
backside	0	2	0.0
mustaches	0	1	0.0
spiders	0	17	0.0
debaters	0	1	0.0
worsts	0	1	0.0
denoting	0	2	0.0
audacity	0	1	0.0
participates	0	3	0.0
waterline	0	4	0.0
scarecrow	0	4	0.0
treed	0	1	0.0
converse	2	10	0.16666666666666666
plasticity	0	1	0.0
chronicles	2	5	0.2857142857142857
ledger	0	7	0.0
woody	2	17	0.10526315789473684
tomcat	0	2	0.0
sunrises	0	2	0.0
mouths	1	10	0.09090909090909091
conga	0	1	0.0
concern	4	170	0.022988505747126436
pony	0	5	0.0
bit	1	1706	5.858230814294083E-4
uncomfortable	111	711	0.13503649635036497
grasses	0	3	0.0
resembling	0	1	0.0
gypsum	0	2	0.0
entitled	2	73	0.02666666666666667
litters	0	1	0.0
summer	103	6793	0.014936194895591648
lest	0	13	0.0
trucks	1	32	0.030303030303030304
ulcers	0	1	0.0
glows	0	2	0.0
answering	3	145	0.02027027027027027
autobiography	0	8	0.0
evil	2	95	0.020618556701030927
shuttles	0	5	0.0
overlooked	0	6	0.0
ubiquitous	0	1	0.0
correlating	0	2	0.0
luncheon	0	1	0.0
varsity	0	1	0.0
cub	0	2	0.0
bowls	0	12	0.0
recruiter	2	9	0.18181818181818182
persons	9	669	0.01327433628318584
awaking	0	1	0.0
closed	0	284	0.0
requirements	160	1331	0.10731052984574112
parent	0	55	0.0
mailman	0	2	0.0
nostrils	0	1	0.0
illumination	0	2	0.0
championships	0	6	0.0
justice	0	72	0.0
prenatal	0	1	0.0
immediacy	0	1	0.0
dramatically	19	249	0.0708955223880597
bitterly	0	2	0.0
benefactor	0	1	0.0
meager	0	4	0.0
readily	0	4	0.0
unclear	0	6	0.0
seconds	1	122	0.008130081300813009
legally	2	14	0.125
mouse	3	145	0.02027027027027027
worth	6	274	0.02142857142857143
auburn	0	3	0.0
concocted	0	1	0.0
heifers	0	1	0.0
diagonal	0	1	0.0
tapping	0	3	0.0
destine	0	3	0.0
pastry	0	7	0.0
attends	0	3	0.0
lyrics	19	558	0.03292894280762565
chickens	4	80	0.047619047619047616
utilization	0	2	0.0
marbling	0	1	0.0
coffins	0	2	0.0
chowed	0	1	0.0
newcomer	2	10	0.16666666666666666
troubleshooting	1	4	0.2
disengage	0	1	0.0
tuberculosis	0	4	0.0
lovable	1	8	0.1111111111111111
certificate	8	173	0.04419889502762431
ceremonial	1	1	0.5
shoo	0	1	0.0
transparently	0	1	0.0
powered	0	21	0.0
puts	0	66	0.0
occasionally	86	226	0.27564102564102566
behavior	18	562	0.03103448275862069
dun	0	2	0.0
tad	0	1	0.0
swindle	0	1	0.0
forbid	1	8	0.1111111111111111
explicit	0	1	0.0
shone	0	4	0.0
cohesive	0	1	0.0
viciously	0	1	0.0
darted	0	2	0.0
senior	4	189	0.02072538860103627
productive	0	53	0.0
calve	0	1	0.0
wake	11	651	0.01661631419939577
considers	1	14	0.06666666666666667
daylight	1	6	0.14285714285714285
gown	0	9	0.0
grieved	0	2	0.0
maxim	0	53	0.0
discriminant	0	1	0.0
natty	0	6	0.0
hawking	0	2	0.0
utmost	1	7	0.125
afflict	0	1	0.0
gradual	0	21	0.0
leveled	0	24	0.0
evacuations	0	1	0.0
provisioning	0	1	0.0
patiently	1	9	0.1
realization	0	15	0.0
insurers	0	1	0.0
precipices	0	1	0.0
meek	0	5	0.0
prince	0	98	0.0
extremism	0	1	0.0
limits	0	59	0.0
muted	0	13	0.0
enhancements	1	1	0.5
botany	0	8	0.0
panthers	0	1	0.0
danced	0	29	0.0
licking	0	1	0.0
dictation	0	1	0.0
encyclopedia	0	3	0.0
continuity	1	7	0.125
three	339	9506	0.034433722701879124
incurable	0	3	0.0
vibration	0	4	0.0
bronzed	0	1	0.0
shorter	2	57	0.03389830508474576
crunch	0	3	0.0
strengthening	1	3	0.25
birthplace	0	4	0.0
ambulance	3	18	0.14285714285714285
wavering	1	1	0.5
scads	0	1	0.0
tattoos	30	40	0.42857142857142855
role	2	252	0.007874015748031496
effectiveness	0	17	0.0
necessaries	0	9	0.0
fingers	1	101	0.00980392156862745
botanists	0	1	0.0
broadcasted	0	5	0.0
physiologist	1	2	0.3333333333333333
dolly	0	5	0.0
penthouse	0	4	0.0
shebang	0	1	0.0
uses	2	156	0.012658227848101266
courageous	3	13	0.1875
abduction	1	1	0.5
numerals	0	1	0.0
parsons	0	1	0.0
extra	7	1143	0.00608695652173913
waltz	0	3	0.0
inborn	0	2	0.0
seminary	0	10	0.0
