tweet_text,sentiment,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
I suppose I am happy being so ` tiny' ; it means I am able to surprise people with what is generally seen as my confident and outgoing personality .,happy,"['i', 'suppose', 'i', 'am', 'be', 'happy', 'being', 'be', 'so', 'tiny', 'it', 'means', 'mean', 'i', 'am', 'be', 'able', 'to', 'surprise', 'people', 'with', 'what', 'is', 'be', 'generally', 'seen', 'see', 'as', 'my', 'confident', 'and', 'outgoing', 'personality']",0.0,0.0,0.0,0.0,2.0,0.266,3.0,1.8810000000000002,0.0,0.0,0.0,0.0,1.0,0.555,2.0,1.3359999999999999,joy,3.0,1.8810000000000002
Lennox has always truly wanted to fight for the world title and was happy taking the tough route .,happy,"['lennox', 'has', 'have', 'always', 'truly', 'wanted', 'want', 'to', 'fight', 'for', 'the', 'world', 'title', 'and', 'was', 'be', 'happy', 'taking', 'take', 'the', 'tough', 'route']",1.0,0.667,0.0,0.0,1.0,0.7190000000000001,1.0,0.7879999999999999,1.0,0.212,0.0,0.0,1.0,0.555,2.0,1.0779999999999998,trust,2.0,1.0779999999999998
"He was a professional musician now , still sensitive and happy doing something he loved .",happy,"['he', 'was', 'be', 'a', 'professional', 'musician', 'now', 'still', 'sensitive', 'and', 'happy', 'doing', 'do', 'something', 'he', 'loved', 'love']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.475,0.0,0.0,0.0,0.0,1.0,0.555,3.0,2.047,joy,3.0,2.475
Holmes is happy having the freedom of the house when we are out .,happy,"['holmes', 'is', 'be', 'happy', 'having', 'have', 'the', 'freedom', 'of', 'the', 'house', 'when', 'we', 'are', 'be', 'out']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.349,0.0,0.0,0.0,0.0,1.0,0.555,2.0,1.351,trust,2.0,1.351
"I had problems with tutors trying to encourage me to diversity my work and experiment with other styles , but I was quite happy with the direction my work was heading so I stubbornly stuck to it .",happy,"['i', 'had', 'have', 'problems', 'problem', 'with', 'tutors', 'tutor', 'trying', 'try', 'to', 'encourage', 'me', 'i', 'to', 'diversity', 'my', 'work', 'and', 'experiment', 'with', 'other', 'styles', 'style', 'but', 'i', 'was', 'be', 'quite', 'happy', 'with', 'the', 'direction', 'my', 'work', 'was', 'be', 'heading', 'head', 'so', 'i', 'stubbornly', 'stuck', 'stick', 'to', 'it']",0.0,0.0,0.0,0.0,1.0,0.266,2.0,1.2879999999999998,1.0,0.43799999999999994,1.0,0.414,2.0,1.135,3.0,1.742,trust,3.0,1.742
These days he is quite happy travelling by trolley .,happy,"['these', 'days', 'day', 'he', 'is', 'be', 'quite', 'happy', 'travelling', 'travel', 'by', 'trolley']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1969999999999998,0.0,0.0,0.0,0.0,1.0,0.555,2.0,1.0310000000000001,joy,2.0,1.1969999999999998
"I 'm really happy in the group now . """,happy,"['i', ""'m"", 'be', 'really', 'happy', 'in', 'the', 'group', 'now']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
"I was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by Amelia Edwards that I was really happy with my work .",happy,"['i', 'was', 'be', 'given', 'give', 'a', 'dummy', 'in', 'which', 'to', 'do', 'my', 'preliminary', 'sketches', 'sketch', 'but', 'the', 'dummy', 'was', 'be', 'designed', 'design', 'so', 'beautifully', 'by', 'amelia', 'edwards', 'that', 'i', 'was', 'be', 'really', 'happy', 'with', 'my', 'work']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,2.0,1.016,1.0,0.609,anticipation,2.0,1.016
"I must say I was not totally happy about her going on at Yeo Davis , with me in the government .",happy,"['i', 'must', 'say', 'i', 'was', 'be', 'not', 'totally', 'happy', 'about', 'her', 'she', 'going', 'go', 'on', 'at', 'yeo', 'davis', 'with', 'me', 'i', 'in', 'the', 'government']",0.0,0.0,0.0,0.0,1.0,0.359,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
"Indeed , the two M boys themselves were not totally happy at first at having these initially undisciplined children visiting their home and generally being around on a regular basis .",happy,"['indeed', 'the', 'two', 'm', 'boys', 'boy', 'themselves', 'were', 'be', 'not', 'totally', 'happy', 'at', 'first', 'at', 'having', 'have', 'these', 'initially', 'undisciplined', 'children', 'child', 'visiting', 'visit', 'their', 'they', 'home', 'and', 'generally', 'being', 'be', 'around', 'on', 'a', 'regular', 'basis']",0.0,0.0,1.0,0.11699999999999999,0.0,0.0,3.0,1.813,0.0,0.0,0.0,0.0,2.0,1.078,1.0,0.609,joy,3.0,1.813
` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half .,happy,"['i', 'am', 'be', 'very', 'happy', 'with', 'the', 'way', 'i', 'am', 'be', 'playing', 'play', 'but', 'i', 'accept', 'that', 'he', 'believes', 'believe', 'he', 'should', 'be', 'england', ""'s"", 'fly', 'half']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,3.0,1.9450000000000003,trust,3.0,1.9450000000000003
"But seriously , I 'm very happy that you 're staying .",happy,"['but', 'seriously', 'i', ""'m"", 'be', 'very', 'happy', 'that', 'you', ""'re"", 'be', 'staying', 'stay']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
